optimizer,lr,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
momentum,0.0001,13,0,9956.0,2493.0,70.0,69.0,0.1145649967677231,0.2508503960462569,0.970068300522298,0.9350180505415162,0.8341670941327433,0.8316468810660262,0.832782024269511,0.9349069349254376,6.221917152404785,0.9628378378378378,0.9628378378378378,0.9628378378378378,0.9733727810650888,0.9762611275964392,0.9748148148148148,0.9233333333333332,0.929530201342282,0.9264214046822744,0.9067524115755627,0.9185667752442996,0.912621359223301,0.9144736842105264,0.952054794520548,0.9328859060402684,0.8490566037735849,0.8181818181818182,0.8333333333333334,0.9659863945578232,0.9594594594594594,0.9627118644067796,0.9233226837060704,0.9203821656050956,0.9218500797448166,0.0,0.0,0.0,0.9225352112676056,0.8791946308724832,0.9003436426116839
momentum,0.0001,13,1,9958.0,2491.0,70.0,69.0,0.117997394546764,0.249309528686841,0.9685679855392648,0.93014853472501,0.8311269113935241,0.818170903408977,0.8237746081689796,0.9299246243237416,6.172683000564575,0.96,0.972972972972973,0.9664429530201344,0.9790419161676648,0.9703264094955488,0.9746646795827124,0.9039735099337748,0.9161073825503356,0.91,0.9177631578947368,0.9087947882736156,0.9132569558101474,0.9307958477508652,0.9212328767123288,0.9259896729776248,0.8636363636363636,0.7037037037037037,0.7755102040816326,0.9427609427609428,0.945945945945946,0.9443507588532885,0.935483870967742,0.926517571884984,0.9309791332263244,0.0,0.0,0.0,0.8778135048231511,0.9161073825503356,0.8965517241379309
momentum,0.0001,13,2,9960.0,2489.0,70.0,69.0,0.1188386260949544,0.2184553788643414,0.9661646586345382,0.9361189232623544,0.8340649305180996,0.8229257315366892,0.8277980950848036,0.9357617264788738,6.1249098777771,0.9471947194719472,0.9695945945945946,0.9582637729549248,0.9792284866468842,0.9792284866468842,0.9792284866468842,0.9,0.906040268456376,0.903010033444816,0.9393939393939394,0.9117647058823528,0.9253731343283584,0.9285714285714286,0.934931506849315,0.931740614334471,0.8444444444444444,0.7037037037037037,0.7676767676767676,0.9311475409836064,0.9594594594594594,0.9450915141430948,0.9551282051282052,0.952076677316294,0.9536,0.0,0.0,0.0,0.9155405405405406,0.9124579124579124,0.9139966273187184
momentum,0.0001,13,3,9960.0,2489.0,70.0,69.0,0.1160112973500019,0.2328348426405025,0.9703815261044176,0.9361189232623544,0.8326850689764322,0.8229350012937859,0.8273090898745477,0.935851334465657,6.211881875991821,0.9494949494949496,0.9527027027027029,0.951096121416526,0.973293768545994,0.973293768545994,0.973293768545994,0.9355932203389832,0.9261744966442952,0.9308600337268128,0.9448051948051948,0.9509803921568628,0.9478827361563515,0.91156462585034,0.9178082191780822,0.9146757679180888,0.8260869565217391,0.7037037037037037,0.76,0.959866220735786,0.9695945945945946,0.9647058823529412,0.939102564102564,0.9361022364217252,0.9376,0.0,0.0,0.0,0.8870431893687708,0.898989898989899,0.8929765886287625
momentum,0.0001,13,4,9962.0,2487.0,70.0,69.0,0.1164074822230121,0.2336814788863647,0.9681790805059224,0.9416968234821068,0.8324813593905398,0.831931553329986,0.8321126062873878,0.9416129533717807,6.143542051315308,0.9658703071672357,0.956081081081081,0.9609507640067912,0.9596541786743517,0.9881305637982196,0.9736842105263158,0.9419795221843004,0.9292929292929292,0.9355932203389832,0.9381107491856676,0.9411764705882352,0.9396411092985316,0.9532374100719424,0.9075342465753424,0.9298245614035088,0.7592592592592593,0.7592592592592593,0.7592592592592593,0.9496644295302014,0.9593220338983052,0.954468802698145,0.9365079365079364,0.9424920127795527,0.9394904458598724,0.0,0.0,0.0,0.9205298013245032,0.936026936026936,0.9282136894824708
momentum,0.0001,21,0,9956.0,2493.0,70.0,69.0,0.1158690286056982,0.1980896102262084,0.9694656488549618,0.941034897713598,0.844812413483343,0.8216750610268813,0.8306012015989797,0.9404089779159376,6.179895877838135,0.9700996677740864,0.9864864864864864,0.9782244556113904,0.9791044776119404,0.973293768545994,0.9761904761904762,0.938566552901024,0.9228187919463088,0.9306260575296108,0.9228295819935692,0.9348534201954396,0.9288025889967638,0.92,0.9452054794520548,0.9324324324324323,0.9210526315789472,0.6363636363636364,0.7526881720430109,0.9562289562289562,0.9594594594594594,0.957841483979764,0.9462025316455696,0.9522292993630572,0.9492063492063492,0.0,0.0,0.0,0.8940397350993378,0.906040268456376,0.9
momentum,0.0001,21,1,9958.0,2491.0,70.0,69.0,0.1140224506138614,0.2471094439655445,0.970978108053826,0.9365716579686872,0.8383013231811581,0.8140977235160154,0.8231688737679388,0.9356846169646316,6.142028093338013,0.9411764705882352,0.972972972972973,0.956810631229236,0.9651162790697676,0.9851632047477744,0.97503671071953,0.9178082191780822,0.8993288590604027,0.9084745762711866,0.9250814332247556,0.9250814332247556,0.9250814332247556,0.9312714776632304,0.928082191780822,0.9296740994854202,0.8888888888888888,0.5925925925925926,0.711111111111111,0.9629629629629628,0.9662162162162162,0.9645868465430018,0.9581993569131833,0.952076677316294,0.9551282051282052,0.0,0.0,0.0,0.8925081433224755,0.9194630872483222,0.905785123966942
momentum,0.0001,21,2,9960.0,2489.0,70.0,69.0,0.1126041723564366,0.2512671429392731,0.969578313253012,0.931297709923664,0.8319123677116925,0.8267867615547644,0.8290796469666789,0.9310837160625076,6.209912061691284,0.9411764705882352,0.972972972972973,0.956810631229236,0.955621301775148,0.9584569732937686,0.957037037037037,0.9292929292929292,0.9261744966442952,0.9277310924369748,0.9177215189873418,0.9477124183006536,0.932475884244373,0.8933333333333333,0.9178082191780822,0.9054054054054056,0.86,0.7962962962962963,0.826923076923077,0.9594594594594594,0.9594594594594594,0.9594594594594594,0.944078947368421,0.9169329073482428,0.9303079416531604,0.0,0.0,0.0,0.9184397163120568,0.8720538720538721,0.8946459412780655
momentum,0.0001,21,3,9960.0,2489.0,70.0,69.0,0.1177624940665908,0.2335430404396999,0.968574297188755,0.9377259943752512,0.831104033788687,0.8273563934654782,0.8290665970592297,0.9376555085077718,6.209298849105835,0.96,0.972972972972973,0.9664429530201344,0.9703264094955488,0.9703264094955488,0.9703264094955488,0.903846153846154,0.9463087248322148,0.9245901639344264,0.9245901639344264,0.9215686274509804,0.9230769230769232,0.9434628975265018,0.9143835616438356,0.9286956521739133,0.7843137254901961,0.7407407407407407,0.7619047619047618,0.9686411149825784,0.9391891891891893,0.95368782161235,0.945859872611465,0.9488817891373802,0.9473684210526316,0.0,0.0,0.0,0.91,0.9191919191919192,0.914572864321608
momentum,0.0001,21,4,9962.0,2487.0,70.0,69.0,0.1245316666930987,0.2144925898763545,0.9665729773137924,0.9384800965018094,0.8284623576622577,0.8218494274934643,0.8248318918598997,0.9382066043590728,6.152658224105835,0.96,0.972972972972973,0.9664429530201344,0.9736842105263158,0.9881305637982196,0.9808541973490428,0.934931506849315,0.9191919191919192,0.9269949066213922,0.9210526315789472,0.915032679738562,0.918032786885246,0.934931506849315,0.934931506849315,0.934931506849315,0.75,0.6666666666666666,0.7058823529411765,0.9595959595959596,0.9661016949152542,0.962837837837838,0.9636963696369636,0.9329073482428116,0.948051948051948,0.0,0.0,0.0,0.8867313915857605,0.9225589225589226,0.9042904290429044
