epoch,train_loss_mean,train_loss_std,train_loss_count,val_loss_mean,val_loss_std,val_loss_count,train_acc_mean,train_acc_std,train_acc_count,val_acc_mean,val_acc_std,val_acc_count
0,0.1681714770961145,0.0033881932342860804,15,0.24418707527979044,0.013544697622927525,15,0.9535972569227656,0.0015907547276203164,15,0.9333288799538307,0.004013586440772542,15
1,0.09816303676082809,0.0024576719138901066,15,0.20117486355565006,0.01321782477603504,15,0.9748975689740299,0.001359082928815439,15,0.9463675923304372,0.003585857926217025,15
2,0.06338217999515011,0.002180245320898189,15,0.18506680985003685,0.014426343259816418,15,0.985541016100201,0.0008767987098713631,15,0.9498489365950754,0.004252503246330593,15
3,0.042112990470256954,0.002144305816896924,15,0.17819293555296767,0.014264991075422395,15,0.9920073139764638,0.0011897658419040757,15,0.9532492384162519,0.004120741884370124,15
4,0.028718694300119686,0.0012713623108888213,15,0.17350275584359412,0.015876712176904492,15,0.9958564792783015,0.0005832001665136687,15,0.955177531208898,0.003858355862725644,15
5,0.019880664757476806,0.001536659932670454,15,0.17271645466803376,0.0163329619210697,15,0.9978579215454569,0.00045014640629546224,15,0.9563827280896321,0.0038429705507471612,15
6,0.014094423221917275,0.001334089593972469,15,0.1740334267323661,0.01795881031931293,15,0.9989022112060651,0.0004895699746621822,15,0.956221848558028,0.0042496585896343655,15
7,0.009862584728501208,0.0006267354798234177,15,0.17324703837950253,0.017464121478394056,15,0.9996050453268631,0.00019894930987318144,15,0.9574536363770928,0.003733962124143154,15
8,0.007390460887944693,0.0006685719126743813,15,0.1747936771282252,0.01821841323943889,15,0.9997456411879975,0.0001814402387363071,15,0.9581233139600787,0.0037865972522622355,15
9,0.005594867948212774,0.00032590133291498944,15,0.17695580182835574,0.018584166114861207,15,0.9998862115094785,0.00011919289534836577,15,0.9582841073681202,0.00432577747252877,15
10,0.004380389231633707,0.00028627083580701646,15,0.17826025994449796,0.019168859713769058,15,0.9999531445705077,6.424775654244735e-05,15,0.9587653475126251,0.003218904955107712,15
11,0.0035535899127331796,0.00038028831036755046,15,0.18148782466525906,0.01966491335643452,15,0.9999665354838274,0.0001050555781723574,15,0.9590332786494802,0.0035776867769546717,15
12,0.00280888384491602,0.00011705476575625803,15,0.18292299763504724,0.02021553089440254,15,0.9999933079033662,2.5918378814171022e-05,15,0.9589264630127629,0.0038813649033160387,15
13,0.0022991668130544667,0.00010065817082978934,15,0.18544742124819086,0.01987971275705857,15,1.0,0.0,15,0.9589801825163305,0.0036860562759079337,15
14,0.0019962159441901934,0.00011575883901321092,15,0.1879783849040578,0.02052427935257539,15,1.0,0.0,15,0.9593281449782994,0.0036539764461074814,15
15,0.0016857680915069533,9.438968014605362e-05,15,0.1889912476729515,0.02021897775599977,15,1.0,0.0,15,0.9594080899033138,0.0038877578871824867,15
16,0.0014198534215865066,6.613657777956011e-05,15,0.1911889915987216,0.021268099753321543,15,1.0,0.0,15,0.9594082834488603,0.0038382569227287753,15
17,0.00121642675155164,5.411482594965322e-05,15,0.1940753981616312,0.021608634980761213,15,1.0,0.0,15,0.9597560092514532,0.003700783937540285,15
18,0.0010588917597792534,4.0782150474971605e-05,15,0.19529864046065307,0.021618443671871834,15,1.0,0.0,15,0.9595152710910869,0.003522643633402547,15
19,0.000921019918542,3.0204224287823043e-05,15,0.19746708958824605,0.021811776367142245,15,1.0,0.0,15,0.9598633411130583,0.0035209599556917494,15
20,0.0008114476734030601,2.8726679935975333e-05,15,0.1994469453722776,0.02229518402222242,15,1.0,0.0,15,0.9595954098728557,0.003552963025498189,15
21,0.0007161894756324133,1.5962724911218598e-05,15,0.20124638460868238,0.02258955353168486,15,1.0,0.0,15,0.959997328359167,0.003451210009464095,15
22,0.00062972288406354,1.7697641852860504e-05,15,0.2030664414411624,0.02270933927305439,15,1.0,0.0,15,0.959809599966439,0.003456974174279963,15
23,0.0005561429059911667,1.698919930696795e-05,15,0.20458982257546351,0.022948172266922428,15,1.0,0.0,15,0.9599433937361771,0.0034347594033369584,15
24,0.00049861871062,2.15676700689783e-05,14,0.20490928788072157,0.023294735073554396,14,1.0,0.0,14,0.9599764160619506,0.0037638465299916165,14
25,0.00044839185509783637,1.1898879701682634e-05,11,0.2004900998862406,0.02195197588085289,11,1.0,0.0,11,0.9601305304661367,0.003850364149838692,11
26,0.00039466889007276667,8.2168886050078e-06,9,0.20201877963836923,0.02193281215201898,9,1.0,0.0,9,0.9603324264602843,0.00410884971326126,9
27,0.000355875852274875,8.15514897096907e-06,4,0.21215653637998538,0.012910092336381861,4,1.0,0.0,4,0.9594484315108873,0.004128928851028808,4
28,0.0003123371095439,4.60018718522492e-06,2,0.20834757889595307,0.008407866315410103,2,1.0,0.0,2,0.961851205087151,0.0044786573773185736,2
29,0.0002870517830325,,1,0.2040051852817964,,1,1.0,,1,0.9590854392298436,,1
