arch,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
arch_shallow,42,0,9956.0,2493.0,14.0,3.0,0.0007309921279031,0.2158114623006262,0.995580554439534,0.9562775772162052,0.8466419015175299,0.8520288729510892,0.8490454440554634,0.9562668825794138,1.8180291652679443,0.9667774086378738,0.983108108108108,0.9748743718592964,0.9680232558139537,0.9881305637982196,0.9779735682819384,0.9566666666666668,0.9630872483221476,0.959866220735786,0.962457337883959,0.9185667752442996,0.94,0.9366666666666666,0.9623287671232876,0.9493243243243245,0.7833333333333333,0.8545454545454545,0.817391304347826,0.979591836734694,0.972972972972973,0.976271186440678,0.9620253164556962,0.9681528662420382,0.965079365079365,0.0,0.0,0.0,0.950877192982456,0.9093959731543624,0.9296740994854202
arch_shallow,42,1,9958.0,2491.0,14.0,3.0,0.0007526170380017,0.2066372681799738,0.995782285599518,0.9546366920915296,0.8457267719287989,0.8486590632140256,0.8470373049089039,0.9546437922567836,1.928581953048706,0.9565217391304348,0.9662162162162162,0.961344537815126,0.9680232558139537,0.9881305637982196,0.9779735682819384,0.9690721649484536,0.9463087248322148,0.9575551782682512,0.956953642384106,0.9413680781758956,0.949096880131363,0.9642857142857144,0.9246575342465754,0.9440559440559442,0.7894736842105263,0.8333333333333334,0.8108108108108109,0.9593220338983052,0.956081081081081,0.957698815566836,0.953416149068323,0.9808306709265175,0.9669291338582676,0.0,0.0,0.0,0.9401993355481728,0.9496644295302014,0.9449081803005008
arch_shallow,42,2,9960.0,2489.0,14.0,3.0,0.0006986284365232,0.1827749038689962,0.9966867469879518,0.952591402169546,0.8529811499119889,0.836527866605455,0.8434124543146838,0.9521578879374132,1.7737722396850586,0.9696969696969696,0.972972972972973,0.9713322091062394,0.9823008849557522,0.9881305637982196,0.985207100591716,0.9690721649484536,0.9463087248322148,0.9575551782682512,0.9519230769230768,0.9705882352941176,0.9611650485436892,0.9269102990033222,0.9554794520547946,0.9409780775716694,0.9047619047619048,0.7037037037037037,0.7916666666666667,0.9473684210526316,0.972972972972973,0.96,0.9333333333333332,0.939297124600639,0.9363057324840764,0.0,0.0,0.0,0.9444444444444444,0.915824915824916,0.92991452991453
arch_shallow,42,3,9960.0,2489.0,15.0,4.0,0.000593802171701,0.2239037139873462,0.9977911646586344,0.9574126155082362,0.8614270312040286,0.8465663804661556,0.8529794571677375,0.9571466111241654,1.892277717590332,0.9633333333333334,0.9763513513513512,0.9697986577181208,0.9736842105263158,0.9881305637982196,0.9808541973490428,0.9543859649122808,0.912751677852349,0.9331046312178388,0.9221183800623052,0.9673202614379084,0.9441786283891548,0.9559322033898304,0.9657534246575342,0.9608177172061328,0.9545454545454546,0.7777777777777778,0.8571428571428572,0.9763513513513512,0.9763513513513512,0.9763513513513512,0.9615384615384616,0.9584664536741214,0.96,0.0,0.0,0.0,0.9523809523809524,0.9427609427609428,0.9475465313028766
arch_shallow,42,4,9962.0,2487.0,16.0,5.0,0.0005140359847876,0.1652366969599103,0.9989961855049186,0.9593888218737434,0.8581895526855119,0.8513625330582648,0.8544869990040975,0.9592739573066922,2.0383780002593994,0.986254295532646,0.9695945945945946,0.9778534923339012,0.976470588235294,0.9851632047477744,0.980797636632201,0.9550173010380624,0.9292929292929292,0.9419795221843004,0.9537953795379538,0.9444444444444444,0.949096880131363,0.9437086092715232,0.976027397260274,0.9595959595959596,0.8979591836734694,0.8148148148148148,0.8543689320388349,0.9629629629629628,0.9694915254237289,0.966216216216216,0.970873786407767,0.9584664536741214,0.964630225080386,0.0,0.0,0.0,0.9348534201954396,0.9663299663299664,0.9503311258278146
arch_shallow,7,0,9956.0,2493.0,15.0,4.0,0.0006913446961199,0.1962205578647277,0.9971876255524308,0.9518652226233454,0.8455365359886237,0.845294827051059,0.8453862986558708,0.9518394286139282,1.9526541233062744,0.9693877551020408,0.9628378378378378,0.9661016949152542,0.9706744868035192,0.9821958456973294,0.9764011799410032,0.9457627118644067,0.9362416107382552,0.9409780775716696,0.9477124183006536,0.9446254071661238,0.9461663947797716,0.9324324324324323,0.9452054794520548,0.9387755102040816,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9658703071672357,0.956081081081081,0.9609507640067912,0.953125,0.9713375796178344,0.9621451104100948,0.0,0.0,0.0,0.9522184300341296,0.9362416107382552,0.9441624365482232
arch_shallow,7,1,9958.0,2491.0,17.0,6.0,0.0004313963541692,0.1547182663301609,0.99989957822856,0.9678843837816138,0.871989408388397,0.86600151368987,0.8688205376871594,0.9678519060786164,2.532623052597046,0.976510067114094,0.983108108108108,0.9797979797979798,0.9794117647058824,0.9881305637982196,0.983751846381093,0.9435215946843852,0.953020134228188,0.9482470784641068,0.9698996655518396,0.9446254071661238,0.9570957095709572,0.9625850340136054,0.9691780821917808,0.9658703071672354,0.98,0.9074074074074074,0.9423076923076924,0.9830508474576272,0.9797297297297296,0.9813874788494076,0.970967741935484,0.9616613418530352,0.9662921348314608,0.0,0.0,0.0,0.9539473684210528,0.9731543624161074,0.9634551495016612
arch_shallow,7,2,9960.0,2489.0,15.0,4.0,0.0006361752688312,0.2391805761861661,0.9976907630522088,0.952189634391322,0.8465707837312978,0.8375540999980832,0.8416017839609028,0.9519278185301916,2.0448689460754395,0.9828178694158076,0.9662162162162162,0.9744463373083476,0.9852941176470588,0.9940652818991098,0.9896602658788776,0.9587628865979382,0.9362416107382552,0.9473684210526316,0.9511400651465798,0.954248366013072,0.9526916802610114,0.9615384615384616,0.9417808219178082,0.9515570934256056,0.8297872340425532,0.7222222222222222,0.7722772277227723,0.9540983606557376,0.983108108108108,0.9683860232945092,0.9230769230769232,0.9584664536741214,0.9404388714733544,0.0,0.0,0.0,0.9191919191919192,0.9191919191919192,0.9191919191919192
arch_shallow,7,3,9960.0,2489.0,15.0,4.0,0.0007080719700978,0.2098807106757855,0.9983935742971888,0.961430293290478,0.8567623367318594,0.860694648504287,0.8586576254210936,0.9614786701811072,2.044240951538086,0.9698996655518396,0.9797297297297296,0.9747899159663864,0.9880239520958084,0.9792284866468842,0.9836065573770492,0.953020134228188,0.953020134228188,0.953020134228188,0.9640522875816994,0.9640522875816994,0.9640522875816994,0.955631399317406,0.958904109589041,0.9572649572649572,0.8596491228070176,0.9074074074074074,0.8828828828828829,0.9728813559322034,0.9695945945945946,0.9712351945854484,0.9519230769230768,0.9488817891373802,0.9504,0.0,0.0,0.0,0.952542372881356,0.9461279461279462,0.9493243243243242
arch_shallow,7,4,9962.0,2487.0,15.0,4.0,0.0006170043292477,0.2154265685079726,0.9982935153583616,0.9529553679131484,0.8420780830763738,0.8520256748343107,0.846531092231284,0.9531720140463092,1.9533071517944336,0.956810631229236,0.972972972972973,0.9648241206030151,0.9879518072289156,0.973293768545994,0.9805680119581464,0.9362416107382552,0.9393939393939394,0.9378151260504204,0.9601328903654484,0.9444444444444444,0.9522240527182868,0.9480968858131488,0.9383561643835616,0.9432013769363168,0.7619047619047619,0.8888888888888888,0.8205128205128205,0.9659863945578232,0.9627118644067796,0.964346349745331,0.9652996845425869,0.977635782747604,0.9714285714285716,0.0,0.0,0.0,0.9383561643835616,0.9225589225589226,0.930390492359932
arch_shallow,13,0,9956.0,2493.0,14.0,3.0,0.0011076656775356,0.1940159535106724,0.9952792286058658,0.9554753309265944,0.8560919893613649,0.8426701904615573,0.8484913414191901,0.9551094927760452,1.790020227432251,0.966996699669967,0.9898648648648648,0.9782971619365608,0.967741935483871,0.9792284866468842,0.9734513274336284,0.9377049180327868,0.959731543624161,0.9485903814262024,0.9464882943143812,0.9218241042345277,0.933993399339934,0.9724137931034482,0.9657534246575342,0.9690721649484536,0.9111111111111112,0.7454545454545455,0.8200000000000001,0.9634551495016612,0.9797297297297296,0.9715242881072026,0.9462025316455696,0.9522292993630572,0.9492063492063492,0.0,0.0,0.0,0.9488054607508531,0.9328859060402684,0.9407783417935702
