perceptron,lr,seed,fold,mse_train,mse_test,accuracy,precision,recall,f1,wnorm,bias
nonlinear,0.001,13,1,0.0111293399567381,0.0102761993469402,0.762,0.327683615819209,1.0,0.4936170212765957,1.9482474326206107,-0.0442545089377429
nonlinear,0.001,13,2,0.0106762238117713,0.01210734115906,0.766,0.3314285714285714,1.0,0.4978540772532188,2.0157916840403973,-0.0394831258992994
nonlinear,0.001,13,3,0.0110432107674334,0.0106263072431909,0.7666666666666667,0.3320610687022901,1.0,0.498567335243553,1.9779135455367451,-0.0366093662447448
nonlinear,0.001,13,4,0.0110272125158067,0.0106750045817485,0.7858572381587725,0.3502024291497975,1.0,0.5187406296851573,2.0205798635273378,0.0048782652900803
nonlinear,0.001,21,0,0.0108709919184901,0.0113190638672051,0.7868087941372418,0.3522267206477733,1.0,0.5209580838323353,1.984015464521245,-0.0274724454447094
nonlinear,0.001,21,1,0.0108433812744246,0.0114137420708563,0.7646666666666667,0.3301707779886148,1.0,0.4964336661911556,1.9851578326949457,-0.0461925719380233
nonlinear,0.001,21,2,0.0111721390157997,0.0100895520407456,0.7653333333333333,0.3307984790874524,1.0,0.4971428571428571,1.9943067007206012,-0.0269936926952899
nonlinear,0.001,21,3,0.0110102270185407,0.0107541774563345,0.7733333333333333,0.3385214007782101,1.0,0.5058139534883721,1.9666326655154176,-0.041753022072804
nonlinear,0.001,21,4,0.0108621017591101,0.0113361771144919,0.7484989993328885,0.3145454545454546,1.0,0.4785615491009682,1.9857870576424215,-0.0361928391503943
nonlinear,0.001,99,0,0.0110005804087365,0.0107903041847262,0.7748167888074617,0.33984375,1.0,0.5072886297376094,1.9812070683048222,-0.0284387665080307
nonlinear,0.001,99,1,0.0107949442974702,0.0116080518960055,0.7446666666666667,0.3123877917414722,1.0,0.4760601915184679,1.9617428660828466,-0.0484672079882637
nonlinear,0.001,99,2,0.0108153378058088,0.0115251121527789,0.7746666666666666,0.33984375,1.0,0.5072886297376094,1.990849250246439,-0.0341744119779741
nonlinear,0.001,99,3,0.0109889101276939,0.0108391049116688,0.7793333333333333,0.3445544554455445,1.0,0.512518409425626,1.9739425866215774,-0.0351875982698304
nonlinear,0.001,99,4,0.0111577472061492,0.0101601099392922,0.7645096731154103,0.3288973384030418,1.0,0.4949928469241774,2.006720054331067,-0.0288059066623162
nonlinear,0.0001,42,0,0.0111767004949445,0.011237578459041,0.7814790139906729,0.3466135458167331,1.0,0.514792899408284,1.7475506422782145,-0.0967153021481609
nonlinear,0.0001,42,1,0.0111366267970167,0.0116326350017526,0.766,0.3314285714285714,1.0,0.4978540772532188,1.7506336203725101,-0.0996000762010382
nonlinear,0.0001,42,2,0.0114286095656417,0.0106794193737227,0.7826666666666666,0.348,1.0,0.5163204747774481,1.7402799188861156,-0.0810342058481049
nonlinear,0.0001,42,3,0.0111900176885524,0.0114413479093867,0.778,0.3431952662721893,1.0,0.5110132158590308,1.7581056255801892,-0.0809499697956614
nonlinear,0.0001,42,4,0.0113146265395391,0.0114532551241874,0.7791861240827218,0.3432539682539682,1.0,0.5110782865583456,1.7516796631527836,-0.0797912730371286
nonlinear,0.0001,7,0,0.0109719153977988,0.0123149775797374,0.7848101265822784,0.3501006036217304,1.0,0.518628912071535,1.7524707092226492,-0.0835049790327236
nonlinear,0.0001,7,1,0.0114273893357662,0.0107497441527466,0.7706666666666667,0.3359073359073359,1.0,0.5028901734104047,1.7590863108447523,-0.0929315907464313
nonlinear,0.0001,7,2,0.0112879356128846,0.0112530542398255,0.7786666666666666,0.3438735177865613,1.0,0.511764705882353,1.7534930449641213,-0.0861228904004866
nonlinear,0.0001,7,3,0.0114673205119762,0.0104284446929805,0.7713333333333333,0.3365570599613153,1.0,0.5036179450072359,1.7462015670793092,-0.0794081599202272
