lr,mse_test_mean,accuracy_mean,precision_mean,recall_mean,f1_mean,wnorm_mean,mse_test_std,accuracy_std,precision_std,recall_std,f1_std,wnorm_std,mse_test_seedmean,accuracy_seedmean,precision_seedmean,recall_seedmean,f1_seedmean,wnorm_seedmean,mse_test_seedstd,accuracy_seedstd,precision_seedstd,recall_seedstd,f1_seedstd,wnorm_seedstd
0.0001,0.011281957855062945,0.7768526719878542,0.34206147635567485,1.0,0.5096741415429831,1.7510337242852365,0.0005234825886993702,0.00999246396286373,0.010117013073355701,0.0,0.011215483745641209,0.009555633516913058,0.011281957855062943,0.7768526719878542,0.3420614763556748,1.0,0.5096741415429831,1.7510337242852365,4.3245152046952204e-06,0.0006793159472839398,0.0007617962721414172,0.0,0.0008220854492761471,0.001330090036697144
0.001,0.010986596212669553,0.7676793191819197,0.3330358906264812,1.0,0.4995911415377575,1.982941315723599,0.0005823793253490239,0.01006829691235246,0.00955923423739117,0.0,0.010773170754160873,0.019556138970977247,0.010986596212669552,0.7676793191819196,0.3330358906264812,1.0,0.4995911415377575,1.982941315723599,4.255070546946592e-06,7.320250318730592e-05,0.00016444611210015024,0.0,0.00014294795682290705,0.0002540009008058063
0.01,0.010990900930828057,0.7690125460618724,0.3343511822296242,1.0,0.501059645829216,1.9791859020078895,0.0005807277840961329,0.01066392262610528,0.010224177969140283,0.0,0.011496541598523905,0.019466852785259926,0.010990900930828057,0.7690125460618724,0.3343511822296242,1.0,0.501059645829216,1.9791859020078895,4.252778336817391e-06,0.001093119803154372,0.001101183318656396,0.0,0.001217999593379612,0.0017590363037992304
