lr,mse_final_mean,tail_slope_mean,tail_slope_max_abs,delta_in_window,relative_change_pct
0.0001,0.011245592127679789,-2.117062577575919e-06,2.3844740250020484e-06,-0.00010373606630122003,0.9224597969002015
0.001,0.010951294116970925,-3.53796161868281e-13,1.05247344286453e-12,-1.733601193154577e-11,1.583010349861814e-07
0.01,0.010955698725887803,0.0,0.0,0.0,0.0
