optimizer,lr,seed,fold,epoch,time_elapsed_s,train_loss,val_loss,train_acc,val_acc,lr_actual
momentum,0.0001,42,0,0,0.0966808795928955,1.7607288064452034,1.7884573154482688,0.474186420249096,0.4781387886081026,0.0001
momentum,0.0001,42,0,1,0.1851129531860351,1.2713057690184344,1.311914510908273,0.6903374849337083,0.6851183313277176,0.0001
momentum,0.0001,42,0,2,0.272562026977539,0.9802053380244576,1.0280133153378042,0.7735034150261149,0.7661452065784196,0.0001
momentum,0.0001,42,0,3,0.3604369163513183,0.798663786050313,0.8500138407425414,0.8131779831257533,0.8030485359005215,0.0001
momentum,0.0001,42,0,4,0.4503657817840576,0.68016705693273,0.733364929853285,0.838388911209321,0.8291215403128761,0.0001
momentum,0.0001,42,0,5,0.5406661033630371,0.5980919706238259,0.6526013076959807,0.8529529931699478,0.8391496189330124,0.0001
momentum,0.0001,42,0,6,0.6277201175689697,0.537431021892671,0.5929953863732635,0.8631980715146645,0.8483754512635379,0.0001
momentum,0.0001,42,0,7,0.7151179313659668,0.4904270612040007,0.5470156938514716,0.8717356368019284,0.8567990373044525,0.0001
momentum,0.0001,42,0,8,0.8023591041564941,0.4528213963002953,0.5110329167863586,0.8783648051426276,0.8628158844765343,0.0001
momentum,0.0001,42,0,9,0.8900079727172852,0.4219378350167038,0.481205822686177,0.8846926476496585,0.8724428399518652,0.0001
momentum,0.0001,42,0,10,0.9777698516845704,0.3962790010670451,0.4564325918071932,0.8916231418240257,0.8772563176895307,0.0001
momentum,0.0001,42,0,11,1.0656850337982178,0.3744660121600959,0.4359185357712219,0.8980514262756127,0.883674288006418,0.0001
momentum,0.0001,42,0,12,1.1534318923950195,0.3557823295211693,0.418261822465958,0.9031739654479712,0.8900922583233053,0.0001
momentum,0.0001,42,0,13,1.2412760257720947,0.3395351429489825,0.4036567019895509,0.9069907593411008,0.8920978740473325,0.0001
momentum,0.0001,42,0,14,1.3287270069122314,0.3251317995316563,0.390860358785179,0.9108075532342306,0.8965102286401926,0.0001
momentum,0.0001,42,0,15,1.4160950183868408,0.312366773443303,0.3797448594638102,0.9143230212936924,0.8997192137986362,0.0001
momentum,0.0001,42,0,16,1.5052478313446045,0.300810877457912,0.3699147756352181,0.9175371635194858,0.9009225832330524,0.0001
momentum,0.0001,42,0,17,1.595154047012329,0.2904600091945984,0.3613442199038734,0.9190437926878264,0.901323706377858,0.0001
momentum,0.0001,42,0,18,1.690479040145874,0.2810506070743142,0.3533818634069361,0.9215548413017276,0.9021259526674688,0.0001
momentum,0.0001,42,0,19,1.7789428234100342,0.2723435980767236,0.3460208353480596,0.9242667738047408,0.9037304452466908,0.0001
momentum,0.0001,42,0,20,1.8670310974121096,0.2643696372199437,0.3394065347062712,0.9261751707513056,0.9061371841155236,0.0001
momentum,0.0001,42,0,21,1.9541850090026855,0.2570017631326969,0.3335933971932494,0.9290879871434312,0.9069394304051344,0.0001
momentum,0.0001,42,0,22,2.041663885116577,0.2502013055025283,0.3280306083991121,0.931096826034552,0.9077416766947451,0.0001
momentum,0.0001,42,0,23,2.1295061111450195,0.2439028602472096,0.3232723100306927,0.933306548814785,0.909346169273967,0.0001
momentum,0.0001,42,0,24,2.2173328399658203,0.2379836949496513,0.3187687219009875,0.9344114102049016,0.9121540312876052,0.0001
momentum,0.0001,42,0,25,2.3045740127563477,0.2324198359665308,0.3143190532823535,0.935415829650462,0.9133574007220217,0.0001
momentum,0.0001,42,0,26,2.3924248218536377,0.2272229194786748,0.310297457287939,0.9363198071514665,0.9133574007220217,0.0001
momentum,0.0001,42,0,27,2.4799489974975586,0.222230699883182,0.3066605557773806,0.937324226597027,0.9149618933012434,0.0001
momentum,0.0001,42,0,28,2.567690849304199,0.2175542993280206,0.3028725269136735,0.9387304138208116,0.91616526273566,0.0001
momentum,0.0001,42,0,29,2.655724048614502,0.2130582689369024,0.2999141766083846,0.9407392527119324,0.9177697553148816,0.0001
momentum,0.0001,42,0,30,2.7432308197021484,0.208793270941319,0.2969123427801878,0.9415427882683808,0.9169675090252708,0.0001
momentum,0.0001,42,0,31,2.832916021347046,0.2047485013714648,0.2939777843218076,0.9430494174367215,0.9173686321700762,0.0001
momentum,0.0001,42,0,32,2.9211928844451904,0.2008216826460204,0.2910529436388265,0.9443551627159502,0.9185720016044926,0.0001
momentum,0.0001,42,0,33,3.009916067123413,0.1971086514523475,0.2881890588567946,0.9453595821615106,0.9193742478941036,0.0001
momentum,0.0001,42,0,34,3.097864866256714,0.1935507466812861,0.2860807771940407,0.9468662113298514,0.9197753710389088,0.0001
momentum,0.0001,42,0,35,3.1847331523895264,0.1901062182386561,0.2836984786867645,0.9470670952189636,0.9205776173285198,0.0001
momentum,0.0001,42,0,36,3.271688938140869,0.1868086975116832,0.2813786841231078,0.9475693049417436,0.9201764941837144,0.0001
momentum,0.0001,42,0,37,3.3589911460876465,0.1836544779430063,0.2794583946836564,0.948473282442748,0.9213798636181308,0.0001
momentum,0.0001,42,0,38,3.4469900131225586,0.1806181171093379,0.2777472117685564,0.9495781438328648,0.9221821099077416,0.0001
momentum,0.0001,42,0,39,3.5349419116973877,0.1776662164837648,0.2754220225725406,0.9499799116110887,0.9229843561973526,0.0001
momentum,0.0001,42,0,40,3.623044967651367,0.174804351157007,0.2734948566525984,0.9508838891120932,0.9237866024869636,0.0001
momentum,0.0001,42,0,41,3.710408926010132,0.1720574883518889,0.2719830712041323,0.9517878666130976,0.924187725631769,0.0001
