lr,mse_final_mean,tail_slope_mean,tail_slope_max_abs,delta_in_window,relative_change_pct
1e-05,0.02611424414129052,4.8169223711798925e-14,1.0345097794279517e-13,2.3602919618781473e-12,9.038331529367045e-09
0.0001,0.026391563457966685,0.0,0.0,0.0,0.0
0.001,0.04573102818540249,0.0,2.1241511950736414e-18,0.0,0.0
