epoch,train_loss_mean,train_loss_std,train_loss_count,val_loss_mean,val_loss_std,val_loss_count,train_acc_mean,train_acc_std,train_acc_count,val_acc_mean,val_acc_std,val_acc_count
0,0.140784573425248,0.004179348247657539,15,0.1980737649597897,0.012026776071460278,15,0.9596694476854287,0.0021720532831757565,15,0.9443894987244056,0.0035788139257523035,15
1,0.08124428915455616,0.0030624282098089127,15,0.1602246680239362,0.01420026558026539,15,0.9781896795680001,0.0013614081236844784,15,0.9568880089276912,0.0033724789420139334,15
2,0.05107776301639126,0.0028015285057778287,15,0.1419579246911287,0.012709477277782107,15,0.9872531801558698,0.0011058677045825277,15,0.9624572333314041,0.0027445956908562696,15
3,0.03374832538987514,0.001557647645775194,15,0.13225735554799448,0.010153408218524831,15,0.9925150659248975,0.000693997333289691,15,0.9655672098466962,0.0016057911496920063,15
4,0.022618867689045013,0.0014668393105435231,15,0.12939643347173463,0.012009792232233956,15,0.9955392325694142,0.0007011834122354078,15,0.9679199385704085,0.0019431176487258999,15
5,0.0145108636507644,0.0011664843342995416,15,0.12638883730975545,0.010251928105623176,15,0.9978360760106907,0.0004376322103086124,15,0.9689722962608938,0.0020702475302906034,15
6,0.01016214643916844,0.000790852654402163,15,0.126302032378973,0.011812057051935783,15,0.9987466071147804,0.0003778887148254282,15,0.970083795620295,0.002518283424914813,15
7,0.006860140981624067,0.0008407315510239312,15,0.12735603066509732,0.012127427555369236,15,0.9994117351611568,0.0002527396021936219,15,0.9703676597233213,0.0018404511524494128,15
8,0.005632851337730826,0.0013445240410989206,15,0.1311521599740045,0.013075615972618514,15,0.9995388560090185,0.0002701133791963891,15,0.9709232406396426,0.0021514611580560855,15
9,0.004011662246796167,0.001957887916882004,15,0.1328357205064271,0.013491762558100865,15,0.9996600476819034,0.0006802740541869966,15,0.9715263291515787,0.0023597402305023493,15
10,0.0029698627801003135,0.0013796694226669345,15,0.13412963019412608,0.013761458340626849,15,0.9997221320704057,0.00041030531748041085,15,0.9717984651553869,0.002172930321242206,15
11,0.0032996431213441996,0.0029281343559469765,15,0.13945310222516258,0.016037876713673585,15,0.9995093019093616,0.0008585519942374244,15,0.9714199293789005,0.002728745908341476,15
12,0.005718082602027233,0.00995600026557139,15,0.14986512803924165,0.030741786004863148,15,0.9986786386495723,0.002969646338219478,15,0.9707578543403511,0.005153601390183846,15
13,0.00604485350388716,0.008128790306836277,15,0.15508518921426892,0.031743525918040257,15,0.9984716158705208,0.002561757834582189,15,0.9702615093412362,0.004663364698590896,15
14,0.005349987899853226,0.00823826234129624,15,0.15779774933820043,0.02859305889339068,15,0.9986993065273869,0.0025181152468370036,15,0.9709589468017401,0.003702453019029814,15
15,0.0025761202260015195,0.004312634829380229,15,0.15508943298365907,0.024863371448217167,15,0.9995240790219899,0.0010874033496931625,15,0.9719048481652746,0.0024792732697372036,15
16,0.0027085495547283134,0.005023140819044205,15,0.15726817603778753,0.02131734563021277,15,0.9993348446937761,0.0017098894206507673,15,0.971668525617518,0.0027174352349881377,15
17,0.0095307351505697,0.018833368584183913,15,0.17250354995146322,0.02987084908118945,15,0.9974604994799223,0.005385033631365112,15,0.9699427438133913,0.005372726049851343,15
18,0.00452190606079828,0.010012456883460558,15,0.16683859946831453,0.023004964239134715,15,0.9992195174196988,0.0018102686200438328,15,0.9717517414097782,0.002915552142656353,15
19,0.0016626385716330865,0.003954497369950179,15,0.16469888897655,0.018829446122530475,15,0.9996895583868103,0.0008960121779309153,15,0.9723429237962853,0.0022255751091177552,15
20,0.00583139275954054,0.020296505613724605,15,0.1709584059790137,0.033943258000400246,15,0.9986166405176429,0.005188419386399766,15,0.9715260796494166,0.0059883806702281505,15
21,0.006277252069208306,0.01686143119277442,15,0.1801219207264824,0.04054483506347866,15,0.9985900030997386,0.004075649979323313,15,0.9716089437987504,0.004928772947779632,15
22,0.01011409208938042,0.030551420008914826,15,0.1869548349355239,0.061911066973727016,15,0.9973987610582129,0.007940381604134244,15,0.9702607483671212,0.008842665357903802,15
23,0.004984298572913427,0.00992479358721316,15,0.18383780532328908,0.040391019769121246,15,0.9990274219974766,0.0020004029919669345,15,0.9717040450402212,0.004054472734514607,15
24,0.005208897573960366,0.011613405107649676,15,0.18733678389754538,0.03994188593354705,15,0.9989299201434478,0.0026376722642756393,15,0.971313542158091,0.00415864450685757,15
25,0.0011156798883157231,0.003041848675562571,13,0.1734163253798036,0.02256126957978731,13,0.9997817198472044,0.000709053131108518,13,0.9732979855483089,0.0016343399993960855,13
26,0.0001685743310360466,6.920460818939133e-05,9,0.16297257933419237,0.010706269459076209,9,1.0,0.0,9,0.9733537016863697,0.0014186242299236514,9
27,0.00019578169047326666,4.383620073617822e-05,3,0.16250419590927612,0.01322743739247977,3,1.0,0.0,3,0.974289129683581,0.0015186583768863062,3
28,0.0001598584874184,,1,0.1667213365892873,,1,1.0,,1,0.974127237285132,,1
