fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,3749.0,3751.0,0.89,0.01,500.0,0.010957039156000402,0.010957427707850003,381.0,54.0,54.0,3262.0,0.971207677952546,0.8758620689655172,0.8758620689655172,0.8758620689655172,0.8758620689655172,0.016284680337756333
1,3751.0,3749.0,0.89,0.01,500.0,0.010956769366262133,0.010969452798902948,364.0,42.0,70.0,3273.0,0.9701253667644705,0.896551724137931,0.8387096774193549,0.8666666666666666,0.8387096774193549,0.012669683257918552
mean,3750.0,3750.0,0.89,0.01,500.0,0.010956904261131268,0.010963440253376476,372.5,48.0,62.0,3267.5,0.9706665223585083,0.8862068965517241,0.857285873192436,0.8712643678160918,0.857285873192436,0.014477181797837442
std,1.0,1.0,0.0,0.0,0.0,1.348948691342472e-07,6.012545526472637e-06,8.5,6.0,8.0,5.5,0.0005411555940377788,0.010344827586206917,0.018576195773081172,0.004597701149425315,0.018576195773081172,0.0018074985399188902
