lr,n_seeds,epochs,mse_final_mean_seeds,mse_final_std_seeds,r2_final_mean_seeds,r2_final_std_seeds
0.1,3,250,0.011000827030354791,0.0,0.8797426105837548,0.0
0.01,3,250,0.010956537277031698,0.0,0.8802267714652802,0.0
0.001,3,250,0.010954782556638398,8.756149204686627e-12,0.8802459534861473,9.571930475794817e-11
0.0001,3,250,0.011962650018314236,2.323120127966355e-05,0.8692282809525939,0.0002539557808868852
