lr,n_seeds,epochs,mse_final_mean_seeds,mse_final_std_seeds,r2_final_mean_seeds,r2_final_std_seeds
0.1,3,250,0.04454569339436493,0.0,0.5130412665737516,0.0
0.01,3,250,0.02790736739086729,3.469446951953614e-18,0.69492592341964,0.0
0.001,3,250,0.02622268536013614,3.469446951953614e-18,0.713342308156275,9.064933036736789e-17
0.0001,3,250,0.026123997477999802,0.0,0.71442113132475,0.0
