lr,seed,epoch,mse_train_fulldataset,r2_train_fulldataset
0.001,42,0,0.02622841908115407,0.7132796290213922
0.001,42,1,0.026222718845312177,0.7133419421074458
0.001,42,2,0.02622268555476028,0.7133423060287085
0.001,42,3,0.02622268536120523,0.713342308144588
0.001,42,4,0.026222685360141218,0.7133423081562194
0.001,42,5,0.02622268536013615,0.7133423081562749
0.001,42,6,0.02622268536013614,0.713342308156275
0.001,42,7,0.02622268536013614,0.713342308156275
0.001,42,8,0.026222685360136142,0.7133423081562749
0.001,42,9,0.026222685360136142,0.7133423081562749
0.001,42,10,0.02622268536013614,0.713342308156275
0.001,42,11,0.026222685360136135,0.713342308156275
0.001,42,12,0.026222685360136142,0.7133423081562749
0.001,42,13,0.02622268536013614,0.713342308156275
0.001,42,14,0.026222685360136135,0.713342308156275
0.001,42,15,0.026222685360136142,0.7133423081562749
0.001,42,16,0.02622268536013614,0.713342308156275
0.001,42,17,0.026222685360136135,0.713342308156275
0.001,42,18,0.026222685360136142,0.7133423081562749
0.001,42,19,0.02622268536013614,0.713342308156275
0.001,42,20,0.026222685360136135,0.713342308156275
0.001,42,21,0.026222685360136142,0.7133423081562749
0.001,42,22,0.02622268536013614,0.713342308156275
0.001,42,23,0.026222685360136135,0.713342308156275
0.001,42,24,0.026222685360136142,0.7133423081562749
0.001,42,25,0.02622268536013614,0.713342308156275
0.001,42,26,0.026222685360136135,0.713342308156275
0.001,42,27,0.026222685360136142,0.7133423081562749
0.001,42,28,0.02622268536013614,0.713342308156275
0.001,42,29,0.026222685360136135,0.713342308156275
0.001,42,30,0.026222685360136142,0.7133423081562749
0.001,42,31,0.02622268536013614,0.713342308156275
0.001,42,32,0.026222685360136135,0.713342308156275
0.001,42,33,0.026222685360136142,0.7133423081562749
0.001,42,34,0.02622268536013614,0.713342308156275
0.001,42,35,0.026222685360136135,0.713342308156275
0.001,42,36,0.026222685360136142,0.7133423081562749
0.001,42,37,0.02622268536013614,0.713342308156275
0.001,42,38,0.026222685360136135,0.713342308156275
0.001,42,39,0.026222685360136142,0.7133423081562749
0.001,42,40,0.02622268536013614,0.713342308156275
0.001,42,41,0.026222685360136135,0.713342308156275
0.001,42,42,0.026222685360136142,0.7133423081562749
0.001,42,43,0.02622268536013614,0.713342308156275
0.001,42,44,0.026222685360136135,0.713342308156275
0.001,42,45,0.026222685360136142,0.7133423081562749
0.001,42,46,0.02622268536013614,0.713342308156275
0.001,42,47,0.026222685360136135,0.713342308156275
0.001,42,48,0.026222685360136142,0.7133423081562749
0.001,42,49,0.02622268536013614,0.713342308156275
0.001,42,50,0.026222685360136135,0.713342308156275
0.001,42,51,0.026222685360136142,0.7133423081562749
0.001,42,52,0.02622268536013614,0.713342308156275
0.001,42,53,0.026222685360136135,0.713342308156275
0.001,42,54,0.026222685360136142,0.7133423081562749
0.001,42,55,0.02622268536013614,0.713342308156275
0.001,42,56,0.026222685360136135,0.713342308156275
0.001,42,57,0.026222685360136142,0.7133423081562749
0.001,42,58,0.02622268536013614,0.713342308156275
0.001,42,59,0.026222685360136135,0.713342308156275
0.001,42,60,0.026222685360136142,0.7133423081562749
0.001,42,61,0.02622268536013614,0.713342308156275
0.001,42,62,0.026222685360136135,0.713342308156275
0.001,42,63,0.026222685360136142,0.7133423081562749
0.001,42,64,0.02622268536013614,0.713342308156275
0.001,42,65,0.026222685360136135,0.713342308156275
0.001,42,66,0.026222685360136142,0.7133423081562749
0.001,42,67,0.02622268536013614,0.713342308156275
0.001,42,68,0.026222685360136135,0.713342308156275
0.001,42,69,0.026222685360136142,0.7133423081562749
0.001,42,70,0.02622268536013614,0.713342308156275
0.001,42,71,0.026222685360136135,0.713342308156275
0.001,42,72,0.026222685360136142,0.7133423081562749
0.001,42,73,0.02622268536013614,0.713342308156275
0.001,42,74,0.026222685360136135,0.713342308156275
0.001,42,75,0.026222685360136142,0.7133423081562749
0.001,42,76,0.02622268536013614,0.713342308156275
0.001,42,77,0.026222685360136135,0.713342308156275
0.001,42,78,0.026222685360136142,0.7133423081562749
0.001,42,79,0.02622268536013614,0.713342308156275
0.001,42,80,0.026222685360136135,0.713342308156275
0.001,42,81,0.026222685360136142,0.7133423081562749
0.001,42,82,0.02622268536013614,0.713342308156275
0.001,42,83,0.026222685360136135,0.713342308156275
0.001,42,84,0.026222685360136142,0.7133423081562749
0.001,42,85,0.02622268536013614,0.713342308156275
0.001,42,86,0.026222685360136135,0.713342308156275
0.001,42,87,0.026222685360136142,0.7133423081562749
0.001,42,88,0.02622268536013614,0.713342308156275
0.001,42,89,0.026222685360136135,0.713342308156275
0.001,42,90,0.026222685360136142,0.7133423081562749
0.001,42,91,0.02622268536013614,0.713342308156275
0.001,42,92,0.026222685360136135,0.713342308156275
0.001,42,93,0.026222685360136142,0.7133423081562749
0.001,42,94,0.02622268536013614,0.713342308156275
0.001,42,95,0.026222685360136135,0.713342308156275
0.001,42,96,0.026222685360136142,0.7133423081562749
0.001,42,97,0.02622268536013614,0.713342308156275
0.001,42,98,0.026222685360136135,0.713342308156275
0.001,42,99,0.026222685360136142,0.7133423081562749
0.001,42,100,0.02622268536013614,0.713342308156275
0.001,42,101,0.026222685360136135,0.713342308156275
0.001,42,102,0.026222685360136142,0.7133423081562749
0.001,42,103,0.02622268536013614,0.713342308156275
0.001,42,104,0.026222685360136135,0.713342308156275
0.001,42,105,0.026222685360136142,0.7133423081562749
0.001,42,106,0.02622268536013614,0.713342308156275
0.001,42,107,0.026222685360136135,0.713342308156275
0.001,42,108,0.026222685360136142,0.7133423081562749
0.001,42,109,0.02622268536013614,0.713342308156275
0.001,42,110,0.026222685360136135,0.713342308156275
0.001,42,111,0.026222685360136142,0.7133423081562749
0.001,42,112,0.02622268536013614,0.713342308156275
0.001,42,113,0.026222685360136135,0.713342308156275
0.001,42,114,0.026222685360136142,0.7133423081562749
0.001,42,115,0.02622268536013614,0.713342308156275
0.001,42,116,0.026222685360136135,0.713342308156275
0.001,42,117,0.026222685360136142,0.7133423081562749
0.001,42,118,0.02622268536013614,0.713342308156275
0.001,42,119,0.026222685360136135,0.713342308156275
0.001,42,120,0.026222685360136142,0.7133423081562749
0.001,42,121,0.02622268536013614,0.713342308156275
0.001,42,122,0.026222685360136135,0.713342308156275
0.001,42,123,0.026222685360136142,0.7133423081562749
0.001,42,124,0.02622268536013614,0.713342308156275
0.001,42,125,0.026222685360136135,0.713342308156275
0.001,42,126,0.026222685360136142,0.7133423081562749
0.001,42,127,0.02622268536013614,0.713342308156275
0.001,42,128,0.026222685360136135,0.713342308156275
0.001,42,129,0.026222685360136142,0.7133423081562749
0.001,42,130,0.02622268536013614,0.713342308156275
0.001,42,131,0.026222685360136135,0.713342308156275
0.001,42,132,0.026222685360136142,0.7133423081562749
0.001,42,133,0.02622268536013614,0.713342308156275
0.001,42,134,0.026222685360136135,0.713342308156275
0.001,42,135,0.026222685360136142,0.7133423081562749
0.001,42,136,0.02622268536013614,0.713342308156275
0.001,42,137,0.026222685360136135,0.713342308156275
0.001,42,138,0.026222685360136142,0.7133423081562749
0.001,42,139,0.02622268536013614,0.713342308156275
0.001,42,140,0.026222685360136135,0.713342308156275
0.001,42,141,0.026222685360136142,0.7133423081562749
0.001,42,142,0.02622268536013614,0.713342308156275
0.001,42,143,0.026222685360136135,0.713342308156275
0.001,42,144,0.026222685360136142,0.7133423081562749
0.001,42,145,0.02622268536013614,0.713342308156275
0.001,42,146,0.026222685360136135,0.713342308156275
0.001,42,147,0.026222685360136142,0.7133423081562749
0.001,42,148,0.02622268536013614,0.713342308156275
0.001,42,149,0.026222685360136135,0.713342308156275
0.001,42,150,0.026222685360136142,0.7133423081562749
0.001,42,151,0.02622268536013614,0.713342308156275
0.001,42,152,0.026222685360136135,0.713342308156275
0.001,42,153,0.026222685360136142,0.7133423081562749
0.001,42,154,0.02622268536013614,0.713342308156275
0.001,42,155,0.026222685360136135,0.713342308156275
0.001,42,156,0.026222685360136142,0.7133423081562749
0.001,42,157,0.02622268536013614,0.713342308156275
0.001,42,158,0.026222685360136135,0.713342308156275
0.001,42,159,0.026222685360136142,0.7133423081562749
0.001,42,160,0.02622268536013614,0.713342308156275
0.001,42,161,0.026222685360136135,0.713342308156275
0.001,42,162,0.026222685360136142,0.7133423081562749
0.001,42,163,0.02622268536013614,0.713342308156275
0.001,42,164,0.026222685360136135,0.713342308156275
0.001,42,165,0.026222685360136142,0.7133423081562749
0.001,42,166,0.02622268536013614,0.713342308156275
0.001,42,167,0.026222685360136135,0.713342308156275
0.001,42,168,0.026222685360136142,0.7133423081562749
0.001,42,169,0.02622268536013614,0.713342308156275
0.001,42,170,0.026222685360136135,0.713342308156275
0.001,42,171,0.026222685360136142,0.7133423081562749
0.001,42,172,0.02622268536013614,0.713342308156275
0.001,42,173,0.026222685360136135,0.713342308156275
0.001,42,174,0.026222685360136142,0.7133423081562749
0.001,42,175,0.02622268536013614,0.713342308156275
0.001,42,176,0.026222685360136135,0.713342308156275
0.001,42,177,0.026222685360136142,0.7133423081562749
0.001,42,178,0.02622268536013614,0.713342308156275
0.001,42,179,0.026222685360136135,0.713342308156275
0.001,42,180,0.026222685360136142,0.7133423081562749
0.001,42,181,0.02622268536013614,0.713342308156275
0.001,42,182,0.026222685360136135,0.713342308156275
0.001,42,183,0.026222685360136142,0.7133423081562749
0.001,42,184,0.02622268536013614,0.713342308156275
0.001,42,185,0.026222685360136135,0.713342308156275
0.001,42,186,0.026222685360136142,0.7133423081562749
0.001,42,187,0.02622268536013614,0.713342308156275
0.001,42,188,0.026222685360136135,0.713342308156275
0.001,42,189,0.026222685360136142,0.7133423081562749
0.001,42,190,0.02622268536013614,0.713342308156275
