fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.89,0.01,500.0,0.010933543780361892,0.011056970436491214,160.0,14.0,14.0,1313.0,0.9813457694870087,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.9195402298850575,0.010550113036925395
1,6000.0,1500.0,0.89,0.01,500.0,0.01083800137147148,0.01143790156754243,144.0,29.0,30.0,1297.0,0.9606666666666667,0.8323699421965318,0.8275862068965517,0.8299711815561961,0.8275862068965517,0.021870286576168928
2,6000.0,1500.0,0.89,0.01,500.0,0.011149535753345622,0.010198068438335909,149.0,17.0,25.0,1309.0,0.972,0.8975903614457831,0.8563218390804598,0.8764705882352941,0.8563218390804598,0.01282051282051282
3,6000.0,1500.0,0.89,0.01,500.0,0.010873041392786099,0.011335550017011125,144.0,19.0,30.0,1307.0,0.9673333333333334,0.8834355828220859,0.8275862068965517,0.8545994065281899,0.8275862068965517,0.014328808446455505
4,6001.0,1499.0,0.89,0.01,500.0,0.010977662959647461,0.010926691969211894,149.0,16.0,24.0,1310.0,0.9733155436957972,0.9030303030303031,0.861271676300578,0.8816568047337279,0.861271676300578,0.012066365007541479
mean,6000.0,1500.0,0.89,0.01,500.0,0.01095435705152251,0.010991036485718513,149.2,19.0,24.6,1307.2,0.9709322626365612,0.8871932838759523,0.8584612318118398,0.8724476421876931,0.8584612318118398,0.014327217177520826
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.0001088319474154199,0.00043718732859861106,5.844655678480983,5.253570214625479,5.851495535331118,5.455272678794342,0.006835144027094965,0.029748796358552144,0.033614443122416314,0.029804408431208393,0.033614443122416314,0.003963483940368338
