arch,lr,seed,fold,n_train,n_val,total_epochs,best_epoch,train_loss_final,val_loss_final,train_acc_final,val_acc_final,macro_precision,macro_recall,macro_f1,weighted_f1,time_seconds,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision_2,recall_2,f1_2,precision_3,recall_3,f1_3,precision_4,recall_4,f1_4,precision_5,recall_5,f1_5,precision_6,recall_6,f1_6,precision_7,recall_7,f1_7,precision_8,recall_8,f1_8,precision_9,recall_9,f1_9
arch_shallow,0.0001,42,0,9956.0,2493.0,31.0,20.0,0.0125117593597564,0.1736190886163635,0.995480112494978,0.9566787003610108,0.8528572716995451,0.8539087714763062,0.8532096748702637,0.9565789453607876,3.9158568382263184,0.97,0.983108108108108,0.976510067114094,0.9680232558139537,0.9881305637982196,0.9779735682819384,0.9413680781758956,0.9697986577181208,0.9553719008264464,0.975609756097561,0.9120521172638436,0.9427609427609428,0.9362416107382552,0.9554794520547946,0.9457627118644067,0.8571428571428571,0.8727272727272727,0.8648648648648648,0.9830508474576272,0.9797297297297296,0.9813874788494076,0.9555555555555556,0.9585987261146496,0.9570747217806042,0.0,0.0,0.0,0.9415807560137456,0.9194630872483222,0.930390492359932
arch_shallow,0.0001,42,1,9958.0,2491.0,34.0,23.0,0.0100761135684047,0.2053353590141769,0.9972886121711187,0.9514251304696908,0.8423984976734102,0.8431366675382866,0.8426622100339867,0.951396492245355,4.190597057342529,0.9630872483221476,0.9695945945945946,0.9663299663299664,0.973293768545994,0.973293768545994,0.973293768545994,0.95578231292517,0.9429530201342282,0.9493243243243245,0.935064935064935,0.9381107491856676,0.9365853658536586,0.9642857142857144,0.9246575342465754,0.9440559440559442,0.7818181818181819,0.7962962962962963,0.7889908256880734,0.9563758389261744,0.9628378378378378,0.9595959595959596,0.9418960244648318,0.9840255591054312,0.9625,0.0,0.0,0.0,0.9523809523809524,0.9395973154362416,0.945945945945946
arch_shallow,0.0001,42,2,9960.0,2489.0,37.0,26.0,0.007627806873615,0.1700448018296931,0.9976907630522088,0.9509843310566491,0.8521170950235633,0.839884561200854,0.8452837355685213,0.9507842114212208,4.575715065002441,0.9630872483221476,0.9695945945945946,0.9663299663299664,0.9850746268656716,0.9792284866468842,0.982142857142857,0.9559322033898304,0.9463087248322148,0.951096121416526,0.9577922077922078,0.9640522875816994,0.9609120521172638,0.9326599326599326,0.9486301369863014,0.9405772495755518,0.9111111111111112,0.7592592592592593,0.8282828282828282,0.95,0.9628378378378378,0.9563758389261744,0.9449838187702264,0.9329073482428116,0.9389067524115756,0.0,0.0,0.0,0.9205298013245032,0.936026936026936,0.9282136894824708
arch_shallow,0.0001,42,3,9960.0,2489.0,33.0,22.0,0.0107584773458317,0.1913915688586696,0.9961847389558232,0.9537967055042186,0.8548709751736128,0.8451110328145507,0.8495265782969309,0.9535928134103532,4.09801721572876,0.9539473684210528,0.9797297297297296,0.9666666666666666,0.976401179941003,0.9821958456973294,0.9792899408284024,0.9515570934256056,0.9228187919463088,0.9369676320272572,0.9329073482428116,0.954248366013072,0.9434571890145396,0.952054794520548,0.952054794520548,0.952054794520548,0.9148936170212766,0.7962962962962963,0.8514851485148516,0.9763513513513512,0.9763513513513512,0.9763513513513512,0.961783439490446,0.9648562300319488,0.963317384370016,0.0,0.0,0.0,0.928813559322034,0.9225589225589226,0.9256756756756755
arch_shallow,0.0001,42,4,9962.0,2487.0,36.0,25.0,0.0084610863159925,0.1619888212996025,0.9981931339088536,0.9589867310012062,0.8570189368999206,0.8555225603005736,0.8561786849598049,0.958985683164817,4.479974269866943,0.9829351535836176,0.972972972972973,0.9779286926994908,0.9793510324483776,0.9851632047477744,0.9822485207100592,0.9616724738675958,0.9292929292929292,0.9452054794520548,0.9536423841059604,0.9411764705882352,0.9473684210526316,0.9335548172757476,0.9623287671232876,0.9477234401349072,0.8867924528301887,0.8703703703703703,0.8785046728971964,0.9726962457337884,0.9661016949152542,0.9693877551020408,0.967948717948718,0.9648562300319488,0.9664,0.0,0.0,0.0,0.9315960912052116,0.9629629629629628,0.9470198675496688
arch_shallow,0.0001,7,0,9956.0,2493.0,34.0,23.0,0.010484384458094,0.1759070837554067,0.9967858577742064,0.945447252306458,0.8387172990381785,0.8326951824679556,0.8354999876948241,0.945239616182917,4.233426094055176,0.9727891156462584,0.9662162162162162,0.9694915254237289,0.95906432748538,0.973293768545994,0.9661266568483062,0.9425675675675677,0.9362416107382552,0.9393939393939394,0.9385113268608414,0.9446254071661238,0.9415584415584416,0.9322033898305084,0.9417808219178082,0.9369676320272572,0.8,0.7272727272727273,0.761904761904762,0.9659863945578232,0.9594594594594594,0.9627118644067796,0.9376947040498442,0.9585987261146496,0.9480314960629922,0.0,0.0,0.0,0.9383561643835616,0.9194630872483222,0.9288135593220338
arch_shallow,0.0001,7,1,9958.0,2491.0,36.0,25.0,0.0080256784484944,0.1364939126411899,0.9983932516569592,0.962665596146126,0.8693785395092245,0.8617597325496362,0.8653087587354682,0.9626537796772056,4.50443696975708,0.9733333333333334,0.9864864864864864,0.9798657718120806,0.976401179941003,0.9821958456973294,0.9792899408284024,0.9372937293729372,0.953020134228188,0.9450915141430948,0.97,0.9478827361563518,0.958813838550247,0.952542372881356,0.9623287671232876,0.9574105621805792,1.0,0.9074074074074074,0.9514563106796116,0.9797297297297296,0.9797297297297296,0.9797297297297298,0.9642857142857144,0.9488817891373802,0.9565217391304348,0.0,0.0,0.0,0.9401993355481728,0.9496644295302014,0.9449081803005008
arch_shallow,0.0001,7,2,9960.0,2489.0,29.0,18.0,0.0144101783449844,0.203661115718425,0.9929718875502008,0.9477701888308556,0.8441654023377442,0.8339396801232082,0.838498705903004,0.9474164483512324,3.6384048461914062,0.9693877551020408,0.9628378378378378,0.9661016949152542,0.97953216374269,0.9940652818991098,0.9867452135493374,0.9518900343642612,0.929530201342282,0.9405772495755518,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9413793103448276,0.934931506849315,0.9381443298969072,0.8478260869565217,0.7222222222222222,0.78,0.954248366013072,0.9864864864864864,0.9700996677740864,0.9337539432176656,0.9456869009584664,0.9396825396825396,0.0,0.0,0.0,0.9191919191919192,0.9191919191919192,0.9191919191919192
arch_shallow,0.0001,7,3,9960.0,2489.0,38.0,27.0,0.0074240575901474,0.1768449752121921,0.998694779116466,0.9602249899558056,0.860302251339202,0.8521810484970768,0.855883696984343,0.9600915859379616,4.781410217285156,0.9573770491803278,0.9864864864864864,0.9717138103161398,0.9850746268656716,0.9792284866468842,0.982142857142857,0.953020134228188,0.953020134228188,0.953020134228188,0.9516129032258064,0.9640522875816994,0.9577922077922078,0.958904109589041,0.958904109589041,0.958904109589041,0.9166666666666666,0.8148148148148148,0.8627450980392156,0.972972972972973,0.972972972972973,0.972972972972973,0.966996699669967,0.9361022364217252,0.9512987012987012,0.0,0.0,0.0,0.9403973509933776,0.9562289562289562,0.9482470784641068
arch_shallow,0.0001,7,4,9962.0,2487.0,38.0,27.0,0.0071768480238815,0.2053330169995951,0.9981931339088536,0.9529553679131484,0.8438624561825971,0.8505781489147844,0.846927205694359,0.9531675137829548,4.798480033874512,0.956953642384106,0.9763513513513512,0.9665551839464884,0.9879154078549848,0.9703264094955488,0.9790419161676646,0.9271523178807948,0.9427609427609428,0.9348914858096828,0.948051948051948,0.954248366013072,0.9511400651465798,0.9612676056338028,0.934931506849315,0.9479166666666669,0.7833333333333333,0.8703703703703703,0.8245614035087719,0.9790940766550522,0.952542372881356,0.965635738831615,0.9648562300319488,0.9648562300319488,0.9648562300319488,0.0,0.0,0.0,0.93,0.9393939393939394,0.9346733668341708
arch_shallow,0.0001,13,0,9956.0,2493.0,34.0,23.0,0.0094493339888173,0.1945369912429898,0.9975893933306548,0.9546730846369836,0.8496343101719435,0.8510452972886828,0.8502953866824214,0.9546914878545776,4.3009867668151855,0.97,0.983108108108108,0.976510067114094,0.981981981981982,0.9703264094955488,0.9761194029850746,0.944078947368421,0.9630872483221476,0.9534883720930232,0.9375,0.9283387622149836,0.9328968903436988,0.9562289562289562,0.9726027397260274,0.9643463497453312,0.8392857142857143,0.8545454545454545,0.8468468468468467,0.986254295532646,0.9695945945945946,0.9778534923339012,0.9548387096774194,0.9426751592356688,0.9487179487179488,0.0,0.0,0.0,0.9261744966442952,0.9261744966442952,0.9261744966442952
arch_shallow,0.0001,13,1,9958.0,2491.0,34.0,23.0,0.0093786664450563,0.1840565939639815,0.9971881903996788,0.9554395824969892,0.8529573264402565,0.8465697607661207,0.8495374416503909,0.9552877985143248,4.306764841079712,0.9672131147540984,0.9966216216216216,0.9816971713810316,0.9880239520958084,0.9792284866468842,0.9836065573770492,0.945945945945946,0.9395973154362416,0.9427609427609428,0.9638157894736842,0.9543973941368078,0.9590834697217676,0.9419795221843004,0.9452054794520548,0.9435897435897436,0.8775510204081632,0.7962962962962963,0.8349514563106796,0.9595959595959596,0.9628378378378378,0.9612141652613828,0.9492063492063492,0.9552715654952076,0.9522292993630572,0.0,0.0,0.0,0.9362416107382552,0.9362416107382552,0.9362416107382552
arch_shallow,0.0001,13,2,9960.0,2489.0,37.0,26.0,0.0075277068029666,0.16665258519775,0.9985943775100402,0.957010847730012,0.857643802571334,0.8508240427508487,0.8539937170955817,0.95692175683007,4.68131685256958,0.9726962457337884,0.9628378378378378,0.967741935483871,0.991044776119403,0.9851632047477744,0.988095238095238,0.9358108108108107,0.929530201342282,0.9326599326599329,0.9534883720930232,0.937908496732026,0.945634266886326,0.9463087248322148,0.9657534246575342,0.9559322033898304,0.9183673469387756,0.8333333333333334,0.8737864077669903,0.9536423841059604,0.972972972972973,0.9632107023411371,0.9650793650793652,0.9712460063897764,0.9681528662420382,0.0,0.0,0.0,0.94,0.9494949494949496,0.9447236180904524
arch_shallow,0.0001,13,3,9960.0,2489.0,36.0,25.0,0.0080517484021469,0.196155833565732,0.9973895582329316,0.952591402169546,0.8510780194372545,0.8455401550506597,0.848131418702426,0.952447662666636,4.558528900146484,0.976271186440678,0.972972972972973,0.9746192893401016,0.9707602339181286,0.9851632047477744,0.9779086892488954,0.9583333333333334,0.9261744966442952,0.9419795221843004,0.9423076923076924,0.9607843137254902,0.9514563106796116,0.9285714285714286,0.934931506849315,0.931740614334471,0.88,0.8148148148148148,0.8461538461538461,0.9664429530201344,0.972972972972973,0.9696969696969696,0.9495268138801262,0.9616613418530352,0.9555555555555556,0.0,0.0,0.0,0.938566552901024,0.925925925925926,0.9322033898305084
arch_shallow,0.0001,13,4,9962.0,2487.0,35.0,24.0,0.0078479505317467,0.1842527862671784,0.9986950411563944,0.9589867310012062,0.8536108207182848,0.8569940214585632,0.8551803651410147,0.9589817711859177,4.451003074645996,0.9625850340136054,0.956081081081081,0.9593220338983052,0.9653179190751444,0.9910979228486648,0.9780380673499268,0.9722222222222222,0.9427609427609428,0.9572649572649572,0.959866220735786,0.937908496732026,0.9487603305785124,0.9554794520547946,0.9554794520547946,0.9554794520547946,0.8421052631578947,0.8888888888888888,0.8648648648648649,0.9665551839464884,0.9796610169491524,0.9730639730639732,0.9523809523809524,0.9584664536741214,0.9554140127388536,0.0,0.0,0.0,0.9595959595959596,0.9595959595959596,0.9595959595959596
arch_shallow,0.0001,21,0,9956.0,2493.0,37.0,26.0,0.0073597204704064,0.1416504988072918,0.9984933708316592,0.959486562374649,0.8631762474908132,0.8487718441547795,0.8550680629927223,0.959340275566162,4.688166856765747,0.983108108108108,0.983108108108108,0.983108108108108,0.9792899408284024,0.9821958456973294,0.9807407407407408,0.9630872483221476,0.9630872483221476,0.9630872483221476,0.9635761589403974,0.9478827361563518,0.9556650246305418,0.9419795221843004,0.9452054794520548,0.9435897435897436,0.9555555555555556,0.7818181818181819,0.86,0.979591836734694,0.972972972972973,0.976271186440678,0.94375,0.961783439490446,0.9526813880126184,0.0,0.0,0.0,0.9218241042345277,0.9496644295302014,0.9355371900826446
arch_shallow,0.0001,21,1,9958.0,2491.0,33.0,22.0,0.0109984712161635,0.1872417690376322,0.995581442056638,0.957848253713368,0.8512130936211122,0.8438608316002958,0.8472081912694882,0.9575910797585162,4.209846019744873,0.9700996677740864,0.9864864864864864,0.9782244556113904,0.9851632047477744,0.9851632047477744,0.9851632047477744,0.9621993127147768,0.9395973154362416,0.9507640067911716,0.9573770491803278,0.9511400651465798,0.9542483660130718,0.9358108108108107,0.9486301369863014,0.9421768707482994,0.8333333333333334,0.7407407407407407,0.7843137254901961,0.9473684210526316,0.972972972972973,0.96,0.9652996845425869,0.977635782747604,0.9714285714285716,0.0,0.0,0.0,0.9554794520547946,0.9362416107382552,0.9457627118644067
arch_shallow,0.0001,21,2,9960.0,2489.0,34.0,23.0,0.0085177776011099,0.1974804650939242,0.9973895582329316,0.9453595821615106,0.8418918695621525,0.8443604835885019,0.843042262303473,0.9453459482420262,4.329082727432251,0.9594594594594594,0.9594594594594594,0.9594594594594594,0.9646017699115044,0.9703264094955488,0.9674556213017752,0.9389830508474576,0.929530201342282,0.9342327150084316,0.9475409836065574,0.9444444444444444,0.9459901800327332,0.9194630872483222,0.9383561643835616,0.9288135593220338,0.8392857142857143,0.8703703703703703,0.8545454545454546,0.9504950495049505,0.972972972972973,0.9616026711185308,0.9548387096774194,0.9456869009584664,0.9502407704654894,0.0,0.0,0.0,0.9442508710801394,0.9124579124579124,0.928082191780822
arch_shallow,0.0001,21,3,9960.0,2489.0,41.0,30.0,0.0052292236335152,0.1646747601124927,0.998995983935743,0.9626355966251506,0.8592351657605801,0.8632088676811185,0.8611449176779118,0.9626599151324392,5.206775903701782,0.9798657718120806,0.9864864864864864,0.9831649831649832,0.9792284866468842,0.9792284866468842,0.9792284866468842,0.9566666666666668,0.9630872483221476,0.959866220735786,0.956810631229236,0.9411764705882352,0.9489291598023064,0.9553264604810996,0.952054794520548,0.95368782161235,0.8771929824561403,0.925925925925926,0.9009009009009008,0.976271186440678,0.972972972972973,0.9746192893401016,0.9678456591639872,0.9616613418530352,0.9647435897435898,0.0,0.0,0.0,0.94314381270903,0.9494949494949496,0.9463087248322148
arch_shallow,0.0001,21,4,9962.0,2487.0,35.0,24.0,0.0090602261161758,0.1576855376670992,0.9972897008632804,0.956172094893446,0.8508894494364503,0.846893147775704,0.8487617755105006,0.9559763243788776,4.461565017700195,0.9668874172185432,0.9864864864864864,0.976588628762542,0.9739130434782608,0.9970326409495548,0.9853372434017597,0.958041958041958,0.9225589225589226,0.939965694682676,0.9508196721311476,0.9477124183006536,0.9492635024549918,0.9455782312925172,0.952054794520548,0.9488054607508534,0.8431372549019608,0.7962962962962963,0.8190476190476189,0.969283276450512,0.9627118644067796,0.9659863945578232,0.9588607594936708,0.9680511182108626,0.9634340222575516,0.0,0.0,0.0,0.9423728813559322,0.936026936026936,0.9391891891891893
arch_shallow,0.0001,99,0,9956.0,2493.0,31.0,20.0,0.012568729551041,0.1490330511027083,0.9952792286058658,0.9574809466506218,0.853391287398462,0.8469827805574243,0.849974886851301,0.9572742885937632,3.9434001445770264,0.9797979797979798,0.983108108108108,0.981450252951096,0.9706744868035192,0.9821958456973294,0.9764011799410032,0.9726962457337884,0.9563758389261744,0.964467005076142,0.9512987012987012,0.9543973941368078,0.9528455284552846,0.9409722222222222,0.928082191780822,0.9344827586206896,0.86,0.7818181818181819,0.819047619047619,0.9766666666666668,0.9898648648648648,0.9832214765100672,0.9592476489028212,0.9745222929936306,0.966824644549763,0.0,0.0,0.0,0.9225589225589226,0.9194630872483222,0.9210084033613444
arch_shallow,0.0001,99,1,9958.0,2491.0,34.0,23.0,0.0102638847007218,0.2126301901098247,0.996183972685278,0.9514251304696908,0.846295430506417,0.8387805983709369,0.8422280203221277,0.9512434779953628,4.325033903121948,0.9697986577181208,0.9763513513513512,0.9730639730639732,0.9705882352941176,0.9792284866468842,0.9748892171344166,0.9185667752442996,0.9463087248322148,0.9322314049586776,0.9633333333333334,0.9413680781758956,0.9522240527182866,0.958904109589041,0.958904109589041,0.958904109589041,0.8333333333333334,0.7407407407407407,0.7843137254901961,0.9659863945578232,0.9594594594594594,0.9627118644067796,0.9394904458598726,0.9424920127795527,0.9409888357256778,0.0,0.0,0.0,0.9429530201342282,0.9429530201342282,0.9429530201342282
arch_shallow,0.0001,99,2,9960.0,2489.0,34.0,23.0,0.0094855205275699,0.1747256662341458,0.9967871485943776,0.954600241060667,0.8536284149813916,0.8443334909607841,0.8485134447619387,0.9543671437610683,4.31992506980896,0.9601328903654484,0.9763513513513512,0.9681742043551088,0.9880597014925372,0.9821958456973294,0.9851190476190476,0.9513888888888888,0.9194630872483222,0.9351535836177476,0.9475409836065574,0.9444444444444444,0.9459901800327332,0.9493243243243245,0.9623287671232876,0.95578231292517,0.8936170212765957,0.7777777777777778,0.8316831683168316,0.9475409836065574,0.9763513513513512,0.9617304492512478,0.9495268138801262,0.9616613418530352,0.9555555555555556,0.0,0.0,0.0,0.9491525423728814,0.9427609427609428,0.945945945945946
arch_shallow,0.0001,99,3,9960.0,2489.0,40.0,29.0,0.0052543182026409,0.1417072026398451,0.9991967871485944,0.9670550421856168,0.8668804013010931,0.8667558427136969,0.8667663445967252,0.9670291732229352,5.071542024612427,0.9797297297297296,0.9797297297297296,0.9797297297297298,0.97953216374269,0.9940652818991098,0.9867452135493374,0.9690721649484536,0.9463087248322148,0.9575551782682512,0.9668874172185432,0.954248366013072,0.9605263157894736,0.9437086092715232,0.976027397260274,0.9595959595959596,0.925925925925926,0.925925925925926,0.925925925925926,0.9898305084745764,0.9864864864864864,0.988155668358714,0.9614147909967846,0.9552715654952076,0.9583333333333334,0.0,0.0,0.0,0.9527027027027029,0.9494949494949496,0.951096121416526
arch_shallow,0.0001,99,4,9962.0,2487.0,36.0,25.0,0.0071128921850466,0.1922278167041891,0.9981931339088536,0.9453156413349416,0.8355846458556131,0.8366275913319345,0.8360177231741381,0.945362197050882,4.579268932342529,0.9665551839464884,0.9763513513513512,0.9714285714285714,0.9823008849557522,0.9881305637982196,0.985207100591716,0.9158576051779936,0.9528619528619529,0.933993399339934,0.9333333333333332,0.915032679738562,0.924092409240924,0.928813559322034,0.9383561643835616,0.9335604770017036,0.7636363636363637,0.7777777777777778,0.7706422018348624,0.972318339100346,0.952542372881356,0.9623287671232876,0.9671052631578948,0.939297124600639,0.9529983792544572,0.0,0.0,0.0,0.925925925925926,0.925925925925926,0.925925925925926
arch_shallow,0.0005,42,0,9956.0,2493.0,16.0,5.0,0.0020293703997317,0.1963878707655073,0.9962836480514264,0.959486562374649,0.8547968777573551,0.8546739356103428,0.8545652180224715,0.9593863278187398,2.0355467796325684,0.9830508474576272,0.9797297297297296,0.9813874788494076,0.985207100591716,0.9881305637982196,0.9866666666666668,0.9539473684210528,0.9731543624161074,0.9634551495016612,0.9691780821917808,0.9218241042345277,0.9449081803005008,0.924342105263158,0.9623287671232876,0.9429530201342282,0.8545454545454545,0.8545454545454545,0.8545454545454545,0.976510067114094,0.983108108108108,0.9797979797979798,0.9503105590062112,0.9745222929936306,0.9622641509433963,0.0,0.0,0.0,0.950877192982456,0.9093959731543624,0.9296740994854202
arch_shallow,0.0005,42,1,9958.0,2491.0,18.0,7.0,0.0013499613224332,0.2130786894349605,0.9991966258284796,0.9566439181051788,0.8498534137979513,0.8503940754311031,0.8500665674980363,0.9568039266677704,2.28786301612854,0.9727891156462584,0.9662162162162162,0.9694915254237289,0.9736070381231672,0.9851632047477744,0.9793510324483776,0.9565217391304348,0.959731543624161,0.9581239530988276,0.950657894736842,0.9413680781758956,0.9459901800327332,0.96113074204947,0.9315068493150684,0.9460869565217392,0.8181818181818182,0.8333333333333334,0.8256880733944955,0.9661016949152542,0.9628378378378378,0.964467005076142,0.953416149068323,0.9808306709265175,0.9669291338582676,0.0,0.0,0.0,0.9461279461279462,0.9429530201342282,0.9445378151260504
arch_shallow,0.0005,42,2,9960.0,2489.0,17.0,6.0,0.0018994881434477,0.167374786215295,0.9975903614457832,0.9558055443953396,0.8544105578955999,0.8438944679909918,0.8486036986958873,0.9555862039989352,2.159255027770996,0.9698996655518396,0.9797297297297296,0.9747899159663864,0.9880239520958084,0.9792284866468842,0.9836065573770492,0.9628378378378378,0.9563758389261744,0.9595959595959596,0.961038961038961,0.9673202614379084,0.9641693811074918,0.9393939393939394,0.9554794520547946,0.9473684210526316,0.8913043478260869,0.7592592592592593,0.8200000000000001,0.9534883720930232,0.9695945945945946,0.9614740368509214,0.9423076923076924,0.939297124600639,0.9408,0.0,0.0,0.0,0.9358108108108107,0.9326599326599326,0.9342327150084316
