arch,lr,seed,fold,epoch,time_elapsed_s,train_loss,val_loss,train_acc,val_acc,lr_actual
arch_shallow,0.0001,42,0,0,0.1463508605957031,0.5280724515353722,0.5627255826344223,0.8700281237444757,0.8584035298836743,0.0001
arch_shallow,0.0001,42,0,1,0.2700958251953125,0.3376525303123344,0.3787450194314267,0.9108075532342306,0.8965102286401926,0.0001
arch_shallow,0.0001,42,0,2,0.3957028388977051,0.260893746140647,0.3073189141860564,0.9281840096424266,0.9157641395908545,0.0001
arch_shallow,0.0001,42,0,3,0.5194368362426758,0.2166933932576161,0.2656961114066131,0.9419445560466052,0.9265944645006016,0.0001
arch_shallow,0.0001,42,0,4,0.6430568695068359,0.1864843636816252,0.2426516019576858,0.9515869827239856,0.9314079422382672,0.0001
arch_shallow,0.0001,42,0,5,0.7658848762512207,0.1634999918499856,0.2257096060377516,0.957111289674568,0.9370236662655436,0.0001
arch_shallow,0.0001,42,0,6,0.8891677856445312,0.1451389925544721,0.2155805045609503,0.9620329449578144,0.9386281588447654,0.0001
arch_shallow,0.0001,42,0,7,1.0122578144073486,0.1293913226321866,0.2048934375824871,0.9669546002410606,0.9398315282791816,0.0001
arch_shallow,0.0001,42,0,8,1.1357409954071045,0.11599540400323,0.1997422463554949,0.9708718360787464,0.9438427597272364,0.0001
arch_shallow,0.0001,42,0,9,1.2582778930664062,0.1045718049185723,0.1928290290200853,0.9746886299718762,0.9458483754512635,0.0001
arch_shallow,0.0001,42,0,10,1.3808777332305908,0.094200135251881,0.1876676776116735,0.9780032141422258,0.9466506217408744,0.0001
arch_shallow,0.0001,42,0,11,1.5041298866271973,0.0852023958627747,0.184291181224576,0.9818200080353556,0.9490573606097072,0.0001
arch_shallow,0.0001,42,0,12,1.628584861755371,0.0771364062122383,0.1798213313496464,0.9832261952591402,0.9502607300441236,0.0001
arch_shallow,0.0001,42,0,13,1.7522807121276855,0.0698100860146048,0.1767324650070643,0.985034150261149,0.9522663457681508,0.0001
arch_shallow,0.0001,42,0,14,1.8751449584960935,0.0634088171379401,0.1743609904794492,0.9862394535958215,0.9522663457681508,0.0001
arch_shallow,0.0001,42,0,15,1.9984657764434817,0.0572402305546702,0.173760452894076,0.987243873041382,0.9522663457681508,0.0001
arch_shallow,0.0001,42,0,16,2.1376688480377197,0.0516864926393665,0.1717453311022915,0.9888509441542788,0.954271961492178,0.0001
arch_shallow,0.0001,42,0,17,2.3071959018707275,0.0469553313443754,0.1723203874547756,0.991261550823624,0.9546730846369836,0.0001
arch_shallow,0.0001,42,0,18,2.4318087100982666,0.0424514300108004,0.1686949542646141,0.9926677380474086,0.9546730846369836,0.0001
arch_shallow,0.0001,42,0,19,2.5561578273773193,0.0385794115162679,0.1700488269483783,0.9942748091603052,0.955074207781789,0.0001
arch_shallow,0.0001,42,0,20,2.680785894393921,0.0348063590604403,0.1679234238686149,0.995480112494978,0.9566787003610108,0.0001
arch_shallow,0.0001,42,0,21,2.8046469688415527,0.0313955164438133,0.1685619550799081,0.9960827641623142,0.9566787003610108,0.0001
arch_shallow,0.0001,42,0,22,2.9278998374938965,0.0284580413421409,0.1690922728665968,0.9967858577742064,0.9558764540714,0.0001
arch_shallow,0.0001,42,0,23,3.051805019378662,0.0256305441173808,0.1681807744488965,0.9975893933306548,0.9570798235058164,0.0001
arch_shallow,0.0001,42,0,24,3.1753599643707275,0.0231408284597154,0.1685672460710839,0.9979911611088792,0.9578820697954272,0.0001
arch_shallow,0.0001,42,0,25,3.2988429069519043,0.0210422098060683,0.1696193431872554,0.9982924869425472,0.9578820697954272,0.0001
arch_shallow,0.0001,42,0,26,3.422402858734131,0.0189720341233748,0.1703921746705433,0.9986942547207714,0.9590854392298436,0.0001
arch_shallow,0.0001,42,0,27,3.5455989837646484,0.0170878439473737,0.1721737783204816,0.9991964644435516,0.9590854392298436,0.0001
arch_shallow,0.0001,42,0,28,3.6692910194396977,0.0154824340452599,0.1717065455618343,0.9992969063881076,0.9598876855194544,0.0001
arch_shallow,0.0001,42,0,29,3.792219877243042,0.013818846720493,0.1720436277195158,0.9994977902772196,0.958684316085038,0.0001
arch_shallow,0.0001,42,0,30,3.915843725204468,0.0125117593597564,0.1736190886163635,0.9995982322217758,0.9614921780986764,0.0001
arch_shallow,0.0001,42,1,0,0.1230609416961669,0.5474182084649003,0.583306427124212,0.8723639284996987,0.8659173022882376,0.0001
arch_shallow,0.0001,42,1,1,0.2469279766082763,0.3368861499474713,0.387957966293515,0.9141393854187588,0.9048574869530308,0.0001
arch_shallow,0.0001,42,1,2,0.3702399730682373,0.2567739810550653,0.319005613717158,0.9324161478208476,0.9181051786431152,0.0001
arch_shallow,0.0001,42,1,3,0.4929141998291015,0.2128730183464529,0.2846566425638162,0.9428600120506124,0.9237254114813328,0.0001
arch_shallow,0.0001,42,1,4,0.6166791915893555,0.1829187156628908,0.2620501256215379,0.9517975497087768,0.93054997992774,0.0001
arch_shallow,0.0001,42,1,5,0.7402260303497314,0.1608722779816073,0.2463456072006236,0.9575215906808596,0.9341629867523084,0.0001
arch_shallow,0.0001,42,1,6,0.8637371063232422,0.1433269032337557,0.236313917186364,0.9620405703956618,0.9373745483741468,0.0001
arch_shallow,0.0001,42,1,7,0.9863810539245604,0.1288074014945745,0.2274942119408323,0.966760393653344,0.9389803291850662,0.0001
arch_shallow,0.0001,42,1,8,1.1092751026153564,0.1161681509161622,0.2208862931257283,0.9703755774251858,0.943797671617824,0.0001
arch_shallow,0.0001,42,1,9,1.232464075088501,0.1052529092511801,0.2150490904598909,0.9737899176541476,0.9450020072260136,0.0001
arch_shallow,0.0001,42,1,10,1.3559248447418213,0.0956727263452903,0.2108045519160936,0.9765013054830288,0.9482135688478522,0.0001
arch_shallow,0.0001,42,1,11,1.4792490005493164,0.0867236849766106,0.2077066226282599,0.9786101626832696,0.9474106784423926,0.0001
arch_shallow,0.0001,42,1,12,1.6027119159698486,0.0790765590578222,0.2056313068856337,0.9815223940550312,0.9494179044560418,0.0001
arch_shallow,0.0001,42,1,13,1.726212978363037,0.0712942810239678,0.2017813693512299,0.983329985940952,0.9506222400642312,0.0001
arch_shallow,0.0001,42,1,14,1.8495750427246096,0.0648296920655618,0.2003377245366184,0.9856396866840732,0.9498193496587716,0.0001
arch_shallow,0.0001,42,1,15,1.9726178646087649,0.0592840276241804,0.1985373032491474,0.987547700341434,0.9498193496587716,0.0001
arch_shallow,0.0001,42,1,16,2.09590220451355,0.05341084822721,0.1985348295059079,0.989455713998795,0.9498193496587716,0.0001
arch_shallow,0.0001,42,1,17,2.218825101852417,0.0486675634081641,0.1973759656366858,0.9910624623418356,0.9502207948615012,0.0001
arch_shallow,0.0001,42,1,18,2.3425040245056152,0.0442152888802786,0.1978924165262823,0.9925687889134364,0.9514251304696908,0.0001
arch_shallow,0.0001,42,1,19,2.466291904449463,0.0401751407282626,0.1980476046461726,0.9939746937135971,0.9502207948615012,0.0001
arch_shallow,0.0001,42,1,20,2.589571952819824,0.0366582633846994,0.1980022810536659,0.9948784896565576,0.9506222400642312,0.0001
arch_shallow,0.0001,42,1,21,2.713491201400757,0.0331924776517013,0.1985103905624582,0.995983129142398,0.9530309112806102,0.0001
arch_shallow,0.0001,42,1,22,2.836225986480713,0.030022489157068,0.1981151898033358,0.9963848162281582,0.9494179044560418,0.0001
arch_shallow,0.0001,42,1,23,2.959163188934326,0.0271744423420092,0.1968572055969452,0.9972886121711187,0.9514251304696908,0.0001
arch_shallow,0.0001,42,1,24,3.0824098587036133,0.0246854368890585,0.1980119930974365,0.9974894557139988,0.9530309112806102,0.0001
arch_shallow,0.0001,42,1,25,3.2057368755340576,0.0224116268177646,0.1981386140203328,0.9982928298855192,0.95383380168607,0.0001
arch_shallow,0.0001,42,1,26,3.3288822174072266,0.0201779363916823,0.1987014013768472,0.9987949387427194,0.95383380168607,0.0001
arch_shallow,0.0001,42,1,27,3.451592206954956,0.0183865398731419,0.1994449415992639,0.9988953605141596,0.9526294660778803,0.0001
arch_shallow,0.0001,42,1,28,3.574531078338623,0.0165452777169853,0.2000274182170942,0.9992970475999196,0.9542352468887996,0.0001
arch_shallow,0.0001,42,1,29,3.6981301307678223,0.0150266198834958,0.2010476317167926,0.9992970475999196,0.9530309112806102,0.0001
arch_shallow,0.0001,42,1,30,3.821078062057495,0.0134340669472307,0.2026356287091363,0.9994978911427996,0.9554395824969892,0.0001
arch_shallow,0.0001,42,1,31,3.943715095520019,0.0122663398582831,0.2018201839569846,0.9995983129142398,0.9542352468887996,0.0001
arch_shallow,0.0001,42,1,32,4.067450046539307,0.0110219147542119,0.2030237597538777,0.9996987346856798,0.955841027699719,0.0001
arch_shallow,0.0001,42,1,33,4.190582990646362,0.0100761135684047,0.2053353590141769,0.99979915645712,0.9546366920915296,0.0001
arch_shallow,0.0001,42,2,0,0.1264081001281738,0.5602789183598064,0.573217136167672,0.8622489959839358,0.8581759742868622,0.0001
arch_shallow,0.0001,42,2,1,0.2500948905944824,0.3480171119771543,0.3758433750113274,0.9087349397590362,0.898754519887505,0.0001
arch_shallow,0.0001,42,2,2,0.3735871315002441,0.2654760521510154,0.3073752987553336,0.9295180722891566,0.9196464443551629,0.0001
arch_shallow,0.0001,42,2,3,0.4972949028015136,0.2186484282164726,0.2736003012859853,0.9420682730923696,0.9256729610285256,0.0001
arch_shallow,0.0001,42,2,4,0.6207730770111084,0.1877352547295654,0.2524027691089167,0.9511044176706828,0.9292888710325432,0.0001
arch_shallow,0.0001,42,2,5,0.743859052658081,0.1646852310607338,0.235828840343131,0.9586345381526103,0.9369224588188028,0.0001
arch_shallow,0.0001,42,2,6,0.8671808242797852,0.1461865934238767,0.2215919462832472,0.9624497991967872,0.9385295299316996,0.0001
arch_shallow,0.0001,42,2,7,0.9898889064788818,0.1312281402640223,0.2126238566588057,0.9676706827309236,0.939333065488148,0.0001
arch_shallow,0.0001,42,2,8,1.112271070480347,0.1181152050969168,0.2031306086755817,0.9710843373493976,0.941743672157493,0.0001
arch_shallow,0.0001,42,2,9,1.235560178756714,0.1071978505948932,0.1975745581432842,0.9730923694779116,0.9421454399357172,0.0001
arch_shallow,0.0001,42,2,10,1.3594448566436768,0.0968997470603547,0.1923415822522525,0.9765060240963856,0.9445560466050624,0.0001
arch_shallow,0.0001,42,2,11,1.4840638637542725,0.0878861767169565,0.1868379657028852,0.979016064257028,0.9449578143832864,0.0001
arch_shallow,0.0001,42,2,12,1.607367992401123,0.0798734611185106,0.1836768715342293,0.9812248995983937,0.9465648854961832,0.0001
arch_shallow,0.0001,42,2,13,1.7296638488769531,0.0724636718594827,0.1793797155242286,0.984136546184739,0.9477701888308556,0.0001
arch_shallow,0.0001,42,2,14,1.852834939956665,0.06597649212119,0.1775100271573027,0.9860441767068272,0.9457613499397348,0.0001
arch_shallow,0.0001,42,2,15,1.9767520427703855,0.060021319164206,0.1750095786123163,0.9882530120481928,0.9469666532744074,0.0001
