arch,lr,n_corridas,total_epochs_mean,total_epochs_std,train_loss_final_mean,train_loss_final_std,val_loss_final_mean,val_loss_final_std,train_acc_final_mean,train_acc_final_std,val_acc_final_mean,val_acc_final_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
arch_shallow,0.0001,25,50.0,0.0,0.6195489433612889,0.015033946059004917,0.6523682442004748,0.021942033835963163,0.84810795051946,0.005217193912634822,0.840085580840869,0.007949924738016968,0.7492468969840093,0.033056998745532785,0.6905917824542561,0.007757423038231585,0.688461939698054,0.010306184320882934
arch_shallow,0.0005,25,50.0,0.0,0.2618389549637688,0.004670113528777734,0.31870359325190517,0.017112914147630675,0.9276768033023279,0.0020495975442831236,0.9133423064688845,0.004671934923129698,0.8139839022575608,0.008148375867413092,0.7878857440401777,0.0077673853354758605,0.7965794689271286,0.007587907146263496
arch_shallow,0.001,25,50.0,0.0,0.1848788898164687,0.003705883978867298,0.26060519888593986,0.01792389155255392,0.9493412137955026,0.0015191335743886618,0.9287981713573944,0.0052266818991904395,0.8279346938123285,0.00823772718598711,0.8119206259794116,0.007615962711356714,0.8182379994701163,0.006972933560604812
arch_shallow,0.005,25,50.0,0.0,0.052935512954637984,0.0016713661920080421,0.19608816813329186,0.01950922619848903,0.9892440632763975,0.000795307997702511,0.9486711476024587,0.0052641792107169134,0.8451755026594807,0.008374695957696977,0.8399476207113972,0.007802754692324796,0.8421916920664758,0.007447695208623785
arch_shallow,0.01,25,50.0,0.0,0.02020244319272332,0.0007641880597101272,0.19262234172409862,0.02151764955788466,0.9983573078735941,0.0003476358443940175,0.9520281345319088,0.0052206564656795676,0.8485444444082794,0.00832452099789266,0.8437474616411493,0.008044706476951087,0.845836507617257,0.007643866607682125
arch_base,0.0001,25,50.0,0.0,0.6787926419270139,0.027168118005757344,0.7157159754701226,0.02922755346174226,0.8327662160553626,0.00800699084246227,0.8245146815221913,0.009715495412910283,0.7018210713148895,0.049849523704223866,0.6739351723133931,0.008628390018777621,0.6680060345175463,0.009577341700131992
arch_base,0.0005,25,50.0,0.0,0.23420535175432997,0.006136054671113052,0.30741736970446626,0.01772936054581821,0.9342920695845907,0.002147242304457855,0.9150604806494155,0.005043699496393797,0.8143781319168898,0.007381244390288375,0.7890413862470299,0.008407235211282406,0.7973528436333757,0.00759493459581917
arch_base,0.001,25,50.0,0.0,0.15024911296249532,0.004008450569002417,0.25086426883385377,0.018270683490134703,0.9588962884010895,0.0018551426326432238,0.931527780398309,0.004261860370140687,0.8290918373622523,0.007660635443562501,0.816073031322872,0.007859522648672377,0.8212126636251409,0.006628486728850388
arch_base,0.005,25,50.0,0.0,0.023445975236233624,0.0011396151212831162,0.21164470616602507,0.02368247578416541,0.9972005635601496,0.00041440152457226324,0.9488632353751598,0.0036636458306500037,0.8450003992988789,0.006457207304277193,0.8406432339181715,0.005899912353753717,0.8424785735148057,0.005288878482764066
arch_base,0.01,25,50.0,0.0,0.006354289094246821,0.0002457983549671772,0.22559786423430472,0.027259666663664597,0.9999558200654747,5.85440439361274e-05,0.9510480665382482,0.00405952825398082,0.8476388087325833,0.006290282674764743,0.8431019167886581,0.007026380007093078,0.8450427580133086,0.00599147387543761
arch_wider,0.0001,25,50.0,0.0,0.5886089348861073,0.01917833309526122,0.6328321252718426,0.031273283928904584,0.8545745005445887,0.0056616338295836606,0.8446468395675549,0.00924106828487249,0.738870305749322,0.040361310497591875,0.6928760062321793,0.008685257649962209,0.6893268740768907,0.01048942657930195
arch_wider,0.0005,25,50.0,0.0,0.21489259420400716,0.005021686185119888,0.29960933476695945,0.021206847496986352,0.9404690233787417,0.0017878549726767197,0.9190629282022992,0.005842398589333348,0.8202005868316705,0.008422458396131772,0.7959020886935937,0.010371862736270119,0.8042980963188567,0.009524242232964475
arch_wider,0.001,25,50.0,0.0,0.1355495858803818,0.0031172629058019265,0.2477277731475941,0.021800377907443373,0.9639930999679933,0.001202081306828727,0.9342276358046671,0.005400666959901537,0.8330367355031324,0.007132670289813755,0.8209321809298119,0.008886466977179635,0.8259764431182453,0.00776501820986605
arch_wider,0.005,25,50.0,0.0,0.018552727208895226,0.0006916689676382394,0.2121317110813394,0.02393601934614845,0.9984818163494259,0.00029596888984613235,0.9501964596000725,0.005469297505438052,0.8482733347558785,0.0070897065129345285,0.8424110707964657,0.007875002743342345,0.8449489795617338,0.0068894661055939705
arch_wider,0.01,25,50.0,0.0,0.005245091247517007,0.0001574785683432972,0.22363389409429602,0.026410407642499304,0.9999959847420198,2.0076289901593822e-05,0.9527347561283657,0.005249077873860956,0.8508849481209434,0.006381040086754556,0.8453478249020293,0.006948180691299706,0.8477906336703427,0.006150545757198048
arch_deeper,0.0001,25,50.0,0.0,0.777282810233701,0.07653997624410755,0.8151352643987189,0.07392881056942695,0.8009836286833816,0.021223558779580178,0.7921296725908291,0.02076679717691314,0.6624763178695874,0.04796303683039196,0.6468696892941533,0.01819870983874493,0.639338974991892,0.021098855356012507
arch_deeper,0.0005,25,50.0,0.0,0.2182351227871756,0.0107298991496659,0.3099252025968288,0.02045460985206593,0.9383001768344955,0.002984030522275996,0.9152541936659339,0.006441236249774455,0.8137264693837442,0.008508961861338236,0.78689390446854,0.012385597921103218,0.7952132928043523,0.01152825135759928
arch_deeper,0.001,25,50.0,0.0,0.12582018736181852,0.0063850331991740505,0.2537153810198665,0.021155755354557392,0.9662461306561054,0.002166098442336925,0.9326524214589389,0.005230325016191445,0.8283792706014914,0.006515150869369146,0.8161595064700274,0.00965180490668372,0.8211182173601723,0.00791677020441086
arch_deeper,0.005,25,50.0,0.0,0.010866719291180651,0.0009860812568206914,0.24002122582255697,0.026295914683304344,0.9993533523322407,0.00027048654124881466,0.9470309021604852,0.005146528634491726,0.8425334524831173,0.007570865509753934,0.838379074224803,0.008811914883709006,0.8401212745960142,0.0077144106934943085
arch_deeper,0.01,25,50.0,0.0,0.002678165505241468,0.00017146271443320391,0.2606575643265844,0.02994987757000599,0.9999879526131817,3.32972188284802e-05,0.9494403362092892,0.005568272975939444,0.8446414603734287,0.00854123494941499,0.840731560279664,0.009840421953215177,0.8423695300992197,0.00873720311286495
