fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,0.01,500.0,0.010933543780361892,0.011056970436491214,174.0,338.0,0.0,989.0,0.7748167888074617,0.33984375,1.0,0.5072886297376094,1.0,0.25470987189148453
1,6000.0,1500.0,0.5,0.01,500.0,0.01083800137147148,0.01143790156754243,174.0,367.0,0.0,959.0,0.7553333333333333,0.32162661737523107,1.0,0.48671328671328673,1.0,0.27677224736048267
2,6000.0,1500.0,0.5,0.01,500.0,0.011149535753345622,0.010198068438335909,174.0,331.0,0.0,995.0,0.7793333333333333,0.3445544554455445,1.0,0.512518409425626,1.0,0.24962292609351433
3,6000.0,1500.0,0.5,0.01,500.0,0.010873041392786099,0.011335550017011125,174.0,351.0,0.0,975.0,0.766,0.3314285714285714,1.0,0.49785407725321884,1.0,0.2647058823529412
4,6001.0,1499.0,0.5,0.01,500.0,0.010977662959647461,0.010926691969211894,173.0,341.0,0.0,985.0,0.7725150100066711,0.33657587548638135,1.0,0.5036390101892285,1.0,0.2571644042232277
mean,6000.0,1500.0,0.5,0.01,500.0,0.01095435705152251,0.010991036485718513,173.8,345.6,0.0,980.6,0.7695996930961598,0.3348058539471457,1.0,0.5016026826637938,1.0,0.26059506638433005
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.0001088319474154199,0.00043718732859861106,0.4,12.483589227461787,0.0,12.611106216347556,0.008330038702014021,0.007856804921748617,0.0,0.008847325798807483,0.0,0.00943814401147347
