threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.0,869,6631,0,0,0.11586666666666667,0.11586666666666667,1.0,0.20767116740351296,1.0,1.0
0.01,869,6615,0,16,0.118,0.11611437733832175,1.0,0.20806895726086436,1.0,0.9975870909365103
0.02,869,6583,0,48,0.12226666666666666,0.1166129898013956,1.0,0.20886912630693424,1.0,0.992761272809531
0.03,869,6546,0,85,0.1272,0.11719487525286582,1.0,0.2098020280057943,1.0,0.9871814206002111
0.04,869,6491,0,140,0.13453333333333334,0.11807065217391305,1.0,0.21120427755498847,1.0,0.9788870456944654
0.05,869,6409,0,222,0.14546666666666666,0.1194009343226161,1.0,0.21333006014483857,1.0,0.9665208867440809
0.06,869,6313,0,318,0.15826666666666667,0.12099693678641046,1.0,0.21587380449633584,1.0,0.9520434323631428
0.07,869,6228,0,403,0.1696,0.12244610398760039,1.0,0.2181772533266382,1.0,0.9392248529633539
0.08,869,6116,0,515,0.18453333333333333,0.12440944881889764,1.0,0.22128851540616248,1.0,0.9223344895189263
0.09,869,6011,0,620,0.19853333333333334,0.12630813953488373,1.0,0.22428700477480967,1.0,0.9064997737897753
0.1,869,5894,0,737,0.21413333333333334,0.12849327221647197,1.0,0.22772536687631026,1.0,0.888855376263007
0.11,869,5782,0,849,0.22906666666666667,0.1306570440535258,1.0,0.23111702127659578,1.0,0.8719650128185794
0.12,869,5661,0,970,0.2452,0.13307810107197549,1.0,0.23489660764968237,1.0,0.8537173880259388
0.13,869,5548,0,1083,0.26026666666666665,0.13542153654355618,1.0,0.23853966511117208,1.0,0.836676217765043
0.14,869,5409,0,1222,0.2788,0.13841987894233831,1.0,0.24317895620540086,1.0,0.8157140702759764
0.15,869,5278,0,1353,0.2962666666666667,0.1413697738734342,1.0,0.2477194982896237,1.0,0.7959583773186548
0.16,869,5151,0,1480,0.3132,0.14435215946843855,1.0,0.2522862534475251,1.0,0.7768059116272056
0.17,869,5005,0,1626,0.33266666666666667,0.14794007490636704,1.0,0.25774877650897227,1.0,0.7547881164228624
0.18,869,4890,0,1741,0.348,0.15089425247438792,1.0,0.26222088111044056,1.0,0.7374453325290303
0.19,869,4776,0,1855,0.3632,0.15394154118689105,1.0,0.2668099478047283,1.0,0.7202533554516665
0.2,869,4646,0,1985,0.38053333333333333,0.15757026291931098,1.0,0.27224310776942356,1.0,0.7006484693108128
0.21,869,4522,0,2109,0.3970666666666667,0.16119458356520125,1.0,0.2776357827476038,1.0,0.6819484240687679
0.22,869,4406,0,2225,0.4125333333333333,0.164739336492891,1.0,0.28287760416666663,1.0,0.6644548333584678
0.23,869,4284,0,2347,0.4288,0.16863962740151367,1.0,0.288608435735636,1.0,0.6460564017493591
0.24,869,4168,0,2463,0.44426666666666664,0.1725233273774072,1.0,0.2942770064341348,1.0,0.628562811039059
0.25,869,4043,0,2588,0.4609333333333333,0.17691368078175895,1.0,0.30064002767687253,1.0,0.609711958980546
0.26,869,3911,0,2720,0.4785333333333333,0.18179916317991632,1.0,0.30766507346433,1.0,0.5898054592067562
