threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.46,869,2005,0,4626,0.7326666666666667,0.302366040361865,1.0,0.4643334223884584,1.0,0.3023676670185492
0.47,869,1916,0,4715,0.7445333333333334,0.31202872531418313,1.0,0.4756431308155446,1.0,0.28894586035288794
0.48,869,1836,0,4795,0.7552,0.32125693160813307,1.0,0.48628987129266926,1.0,0.2768813150354396
0.49,869,1761,0,4870,0.7652,0.33041825095057037,1.0,0.4967133466704773,1.0,0.26557080380033177
0.5,869,1669,0,4962,0.7774666666666666,0.34239558707643813,1.0,0.5101262107425888,1.0,0.2516965766852662
0.51,869,1593,0,5038,0.7876,0.3529650690495532,1.0,0.5217652356649655,1.0,0.24023525863369025
0.52,868,1516,1,5115,0.7977333333333333,0.3640939597315436,0.998849252013809,0.5336612357823548,0.998849252013809,0.22862313376564622
0.53,868,1427,1,5204,0.8096,0.37821350762527234,0.998849252013809,0.5486725663716814,0.998849252013809,0.2152013270999849
0.54,868,1339,1,5292,0.8213333333333334,0.39329406434073405,0.998849252013809,0.564369310793238,0.998849252013809,0.20193032725079174
0.55,868,1277,1,5354,0.8296,0.40466200466200464,0.998849252013809,0.5759787657597877,0.998849252013809,0.19258030462976927
0.56,868,1228,1,5403,0.8361333333333333,0.41412213740458015,0.998849252013809,0.5854974704890388,0.998849252013809,0.18519077062283215
0.57,868,1170,1,5461,0.8438666666666667,0.4259077526987242,0.998849252013809,0.5971792225662195,0.998849252013809,0.1764439752676821
0.58,868,1102,1,5529,0.8529333333333333,0.44060913705583754,0.998849252013809,0.6114829165199014,0.998849252013809,0.166189111747851
0.59,867,1036,2,5595,0.8616,0.4555964266946926,0.997698504027618,0.6255411255411255,0.997698504027618,0.15623586186095612
0.6,866,980,3,5651,0.8689333333333333,0.46912242686890576,0.996547756041427,0.637937384898711,0.996547756041427,0.14779068013874228
0.61,866,931,3,5700,0.8754666666666666,0.4819143016138008,0.996547756041427,0.649662415603901,0.996547756041427,0.14040114613180515
0.62,865,872,4,5759,0.8832,0.49798503166378816,0.9953970080552359,0.6638526477359938,0.9953970080552359,0.131503543960187
0.63,864,810,5,5821,0.8913333333333333,0.5161290322580645,0.9942462600690449,0.6795123869445537,0.9942462600690449,0.12215352133916453
0.64,861,752,8,5879,0.8986666666666666,0.5337879727216367,0.9907940161104718,0.693795326349718,0.9907940161104718,0.11340672598401448
0.65,860,707,9,5924,0.9045333333333333,0.5488194001276324,0.9896432681242808,0.7060755336617405,0.9896432681242808,0.10662041924294978
0.66,859,668,10,5963,0.9096,0.5625409299279633,0.9884925201380897,0.7170283806343906,0.9884925201380897,0.1007389534006937
