k,n_folds,n_train_mean,n_test_mean,positivos_test_mean,mse_test_mean,mse_test_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,2,3750.0,3750.0,434.5,0.0268624036162785,0.0012653296149951997,0.9736004247893637,0.0015929601132771976,0.9176910462851084,0.03217702759351965,0.8503787276868477,0.020885640129244154,0.881970129087154,0.0036387270014067163
3,3,5000.0,2500.0,289.6666666666667,0.0265742653010758,0.001024291218246307,0.9736004239787345,0.0021368782329329187,0.9125086174594731,0.02234475702155185,0.854997414787416,0.01765306759849091,0.882460589040237,0.008860722153409707
5,5,6000.0,1500.0,173.8,0.026579519870782997,0.0007646598236350999,0.973466396148028,0.004684739503719654,0.9086414421852632,0.02831995012479159,0.8584545877350342,0.0368293792829362,0.8821289408439581,0.021277937925555292
10,10,6750.0,750.0,86.9,0.026652027222731862,0.00205734964925772,0.9731989252721635,0.005385134166004162,0.906176890953416,0.026464665228274342,0.8584068430900829,0.04199854292876844,0.8809175667251875,0.024956674451715365
