fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,1e-05,7500.0,0.026057986761849443,0.026629978800505737,171.0,239.0,3.0,1088.0,0.8387741505662891,0.4170731707317073,0.9827586206896551,0.5856164383561643,0.9827586206896551,0.18010550113036924
1,6000.0,1500.0,0.5,1e-05,7500.0,0.02600165583150065,0.02663927628579227,171.0,248.0,3.0,1078.0,0.8326666666666667,0.4081145584725537,0.9827586206896551,0.5767284991568297,0.9827586206896551,0.1870286576168929
2,6000.0,1500.0,0.5,1e-05,7500.0,0.0261248048390908,0.02617386590871597,171.0,240.0,3.0,1086.0,0.838,0.41605839416058393,0.9827586206896551,0.5846153846153846,0.9827586206896551,0.18099547511312217
3,6000.0,1500.0,0.5,1e-05,7500.0,0.026211273070346645,0.02577320236205036,172.0,225.0,2.0,1101.0,0.8486666666666667,0.4332493702770781,0.9885057471264368,0.6024518388791593,0.9885057471264368,0.16968325791855204
4,6001.0,1499.0,0.5,1e-05,7500.0,0.02616128082077424,0.026013477228837564,170.0,245.0,3.0,1081.0,0.8345563709139426,0.40963855421686746,0.9826589595375722,0.5782312925170069,0.9826589595375722,0.1847662141779789
mean,6000.0,1500.0,0.5,1e-05,7500.0,0.026111400264712353,0.02624596011718038,171.0,239.4,2.8,1086.8,0.8385327709627128,0.4168268095717581,0.9838881137465949,0.585528690704909,0.9838881137465949,0.18051582119138304
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,7.421478653424673e-05,0.0003420274026847504,0.6324555320336759,7.914543574963752,0.39999999999999997,7.934733769950949,0.005536440880390538,0.008921053642343878,0.0023091393113978064,0.009142539727961578,0.0023091393113978064,0.0059703557070403855
