fold,epoch,mse_train
0,0,0.21299948282158102
0,1,0.18850162641557994
0,2,0.16776320960369132
0,3,0.15010429280159293
0,4,0.13498512896623963
0,5,0.12197474764654516
0,6,0.11072690712266899
0,7,0.10096164636143624
0,8,0.09245109769143156
0,9,0.08500854553661372
0,10,0.07847996187438601
0,11,0.07273743465350117
0,12,0.06767404582861214
0,13,0.06319986197279545
0,14,0.05923878094699446
0,15,0.05572603912717059
0,16,0.05260622996787741
0,17,0.04983171980480263
0,18,0.04736137348100503
0,19,0.04515952267195748
0,20,0.04319512523273356
0,21,0.041441075668326145
0,22,0.039873635821450294
0,23,0.03847196175174711
0,24,0.037217708053643474
0,25,0.036094694911638164
0,26,0.03508862631270161
0,27,0.03418685024664455
0,28,0.03337815359428116
0,29,0.03265258585722327
0,30,0.032001307018906563
0,31,0.03141645571757365
0,32,0.030891034614490845
0,33,0.030418810397438052
0,34,0.02999422630318755
0,35,0.02961232539832789
0,36,0.02926868314458326
0,37,0.028959348007526906
0,38,0.028680789057684567
0,39,0.028429849669279646
0,40,0.028203706551143296
0,41,0.027999833451933024
0,42,0.02781596897194165
0,43,0.02765008798971854
0,44,0.02750037627606224
0,45,0.027365207922730006
0,46,0.027243125260088864
0,47,0.027132820978231924
0,48,0.02703312220085352
0,49,0.026942976291305896
0,50,0.02686143819643284
0,51,0.02678765915659868
0,52,0.026720876630275767
0,53,0.026660405299023714
0,54,0.02660562903403329
0,55,0.026555993718899242
0,56,0.026511000835169996
0,57,0.026470201727707136
0,58,0.026433192476149867
0,59,0.026399609306969052
0,60,0.026369124487845754
0,61,0.026341442652532368
0,62,0.026316297510049776
0,63,0.026293448897126957
0,64,0.02627268013727518
0,65,0.026253795673875317
0,66,0.026236618948196934
0,67,0.026220990496418267
0,68,0.026206766242516503
0,69,0.026193815966390806
0,70,0.02618202192879948
0,71,0.02617127763666786
0,72,0.026161486734084107
0,73,0.026152562005867953
0,74,0.02614442448199452
0,75,0.02613700263240188
0,76,0.026130231642821345
0,77,0.02612405276326104
0,78,0.02611841272165669
0,79,0.02611326319599297
0,80,0.026108560338902725
0,81,0.026104264349379992
0,82,0.02610033908680452
0,83,0.026096751722976503
0,84,0.026093472428308763
0,85,0.026090474088723812
0,86,0.02608773205016119
0,87,0.026085223887920412
0,88,0.026082929198351354
0,89,0.026080829410659617
0,90,0.026078907616823653
0,91,0.02607714841782549
0,92,0.026075537784580386
0,93,0.026074062932115137
0,94,0.026072712205692093
0,95,0.026071474977707586
0,96,0.02607034155431199
0,97,0.026069303090804526
0,98,0.026068351514950846
0,99,0.02606747945745677
0,100,0.02606668018890806
0,101,0.026065947562554707
0,102,0.026065275962379834
0,103,0.026064660255948748
0,104,0.02606409575158318
0,105,0.026063578159450776
0,106,0.02606310355619966
0,107,0.02606266835280433
0,108,0.02606226926532147
0,109,0.026061903288283398
0,110,0.026061567670483524
0,111,0.026061259892931378
0,112,0.02606097764877651
0,113,0.02606071882501959
0,114,0.026060481485846426
0,115,0.026060263857436074
0,116,0.026060064314108636
0,117,0.026059881365690634
0,118,0.026059713645987605
0,119,0.026059559902263853
0,120,0.026059418985638613
0,121,0.026059289842316192
0,122,0.026059171505575737
0,123,0.02605906308845251
0,124,0.026058963777049454
0,125,0.02605887282442304
0,126,0.0260587895449927
0,127,0.02605871330942769
0,128,0.026058643539969503
0,129,0.026058579706151663
0,130,0.026058521320882256
0,131,0.026058467936857593
0,132,0.026058419143278284
0,133,0.026058374562841612
0,134,0.026058333848986287
0,135,0.02605829668336794
0,136,0.02605826277354555
0,137,0.026058231850860692
0,138,0.02605820366849333
0,139,0.026058177999678845
0,140,0.02605815463607295
0,141,0.026058133386251698
0,142,0.02605811407433533
0,143,0.026058096538725466
0,144,0.026058080630946147
0,145,0.026058066214579987
0,146,0.026058053164291536
0,147,0.026058041364930482
0,148,0.026058030710708162
0,149,0.026058021104441182
0,150,0.02605801245685667
0,151,0.026058004685953977
0,152,0.026057997716418226
0,153,0.026057991479081454
0,154,0.02605798591042733
0,155,0.026057980952135996
0,156,0.026057976550665607
0,157,0.026057972656867764
0,158,0.026057969225633828
0,159,0.026057966215569776
0,160,0.026057963588697216
0,161,0.026057961310178446
0,162,0.026057959348063577
0,163,0.026057957673057946
0,164,0.02605795625830822
0,165,0.026057955079205587
0,166,0.026057954113204766
0,167,0.026057953339657478
0,168,0.02605795273965924
0,169,0.026057952295908394
0,170,0.026057951992576475
0,171,0.026057951815188878
0,172,0.026057951750515024
0,173,0.02605795178646742
0,174,0.026057951912008655
0,175,0.02605795211706591
0,176,0.026057952392452285
0,177,0.026057952729794328
0,178,0.026057953121465464
0,179,0.026057953560524694
0,180,0.02605795404066017
0,181,0.026057954556137332
0,182,0.026057955101751143
0,183,0.026057955672782202
0,184,0.026057956264956297
0,185,0.026057956874407297
0,186,0.026057957497642923
0,187,0.02605795813151334
0,188,0.026057958773182226
0,189,0.026057959420100186
0,190,0.026057960069980325
0,191,0.026057960720775753
0,192,0.026057961370658942
0,193,0.02605796201800273
0,194,0.026057962661362857
0,195,0.02605796329946199
0,196,0.026057963931174915
0,197,0.026057964555515064
0,198,0.02605796517162209
0,199,0.026057965778750417
0,200,0.026057966376258845
0,201,0.026057966963600864
0,202,0.026057967540315898
0,203,0.026057968106021182
0,204,0.026057968660404402
0,205,0.026057969203216836
0,206,0.02605796973426718
0,207,0.02605797025341583
0,208,0.026057970760569663
0,209,0.026057971255677263
0,210,0.02605797173872455
0,211,0.02605797220973079
0,212,0.026057972668744937
0,213,0.02605797311584232
0,214,0.026057973551121567
0,215,0.026057973974701866
0,216,0.026057974386720435
0,217,0.026057974787330174
0,218,0.026057975176697636
0,219,0.02605797555500107
0,220,0.026057975922428703
0,221,0.026057976279177213
0,222,0.026057976625450226
0,223,0.026057976961457105
0,224,0.026057977287411764
0,225,0.026057977603531568
0,226,0.026057977910036487
0,227,0.02605797820714813
0,228,0.02605797849508908
0,229,0.02605797877408215
0,230,0.0260579790443498
0,231,0.026057979306113577
0,232,0.026057979559593648
0,233,0.026057979805008343
0,234,0.026057980042573828
0,235,0.02605798027250371
0,236,0.0260579804950088
0,237,0.02605798071029685
0,238,0.02605798091857232
0,239,0.026057981120036208
0,240,0.026057981314885906
0,241,0.026057981503315036
0,242,0.026057981685513387
0,243,0.026057981861666805
0,244,0.02605798203195712
0,245,0.026057982196562145
0,246,0.02605798235565557
0,247,0.02605798250940703
0,248,0.026057982657982016
0,249,0.026057982801541948
0,250,0.026057982940244157
0,251,0.02605798307424192
0,252,0.026057983203684482
0,253,0.026057983328717116
0,254,0.026057983449481143
0,255,0.026057983566114003
0,256,0.02605798367874931
0,257,0.026057983787516906
0,258,0.026057983892542932
0,259,0.026057983993949867
0,260,0.02605798409185663
0,261,0.026057984186378644
0,262,0.0260579842776279
0,263,0.026057984365713025
0,264,0.026057984450739372
0,265,0.026057984532809074
0,266,0.026057984612021145
0,267,0.02605798468847154
0,268,0.026057984762253218
0,269,0.026057984833456265
0,270,0.0260579849021679
0,271,0.0260579849684726
0,272,0.02605798503245215
0,273,0.026057985094185738
0,274,0.02605798515374999
0,275,0.026057985211219076
0,276,0.026057985266664755
0,277,0.026057985320156466
0,278,0.026057985371761374
0,279,0.02605798542154444
0,280,0.0260579854695685
0,281,0.026057985515894316
0,282,0.026057985560580622
0,283,0.026057985603684233
0,284,0.026057985645260035
0,285,0.026057985685361124
0,286,0.026057985724038772
0,287,0.026057985761342578
0,288,0.026057985797320424
0,289,0.026057985832018623
0,290,0.026057985865481893
0,291,0.02605798589775344
0,292,0.026057985928875007
0,293,0.026057985958886924
0,294,0.026057985987828134
0,295,0.026057986015736254
0,296,0.02605798604264762
0,297,0.026057986068597296
0,298,0.026057986093619194
0,299,0.026057986117746006
0,300,0.026057986141009324
0,301,0.026057986163439642
0,302,0.026057986185066412
0,303,0.026057986205918048
0,304,0.026057986226022005
0,305,0.026057986245404757
0,306,0.02605798626409189
0,307,0.026057986282108057
0,308,0.02605798629947709
0,309,0.026057986316221984
0,310,0.02605798633236491
0,311,0.026057986347927293
0,312,0.02605798636292978
0,313,0.026057986377392324
0,314,0.02605798639133415
0,315,0.026057986404773834
0,316,0.026057986417729283
0,317,0.026057986430217773
0,318,0.02605798644225599
0,319,0.026057986453860017
0,320,0.026057986465045375
0,321,0.026057986475827036
0,322,0.02605798648621944
0,323,0.026057986496236536
0,324,0.026057986505891747
0,325,0.026057986515198056
0,326,0.026057986524167954
0,327,0.026057986532813517
0,328,0.02605798654114638
0,329,0.02605798654917776
0,330,0.02605798655691849
0,331,0.026057986564378993
0,332,0.02605798657156936
0,333,0.0260579865784993
0,334,0.026057986585178168
0,335,0.026057986591615002
0,336,0.02605798659781852
0,337,0.026057986603797104
0,338,0.02605798660955887
0,339,0.026057986615111627
0,340,0.026057986620462905
0,341,0.02605798662561996
0,342,0.026057986630589815
0,343,0.02605798663537921
0,344,0.026057986639994653
0,345,0.02605798664444243
0,346,0.02605798664872861
0,347,0.026057986652859005
0,348,0.02605798665683925
0,349,0.026057986660674784
0,350,0.026057986664370834
0,351,0.026057986667932437
0,352,0.026057986671364462
0,353,0.026057986674671588
0,354,0.026057986677858355
0,355,0.026057986680929103
0,356,0.026057986683888045
0,357,0.026057986686739212
0,358,0.026057986689486525
0,359,0.02605798669213375
0,360,0.026057986694684506
0,361,0.026057986697142297
0,362,0.02605798669951049
0,363,0.026057986701792345
0,364,0.02605798670399098
0,365,0.02605798670610942
0,366,0.02605798670815058
0,367,0.026057986710117265
0,368,0.02605798671201218
0,369,0.026057986713837935
0,370,0.02605798671559704
0,371,0.02605798671729191
0,372,0.026057986718924894
0,373,0.026057986720498236
0,374,0.0260579867220141
0,375,0.026057986723474577
0,376,0.026057986724881688
0,377,0.026057986726237378
0,378,0.026057986727543517
0,379,0.026057986728801892
0,380,0.026057986730014263
0,381,0.026057986731182304
0,382,0.026057986732307612
0,383,0.02605798673339176
0,384,0.026057986734436246
0,385,0.02605798673544251
0,386,0.026057986736411947
0,387,0.026057986737345898
0,388,0.02605798673824566
0,389,0.026057986739112488
0,390,0.026057986739947577
0,391,0.026057986740752073
0,392,0.026057986741527105
0,393,0.026057986742273744
0,394,0.02605798674299303
0,395,0.026057986743685962
0,396,0.0260579867443535
0,397,0.026057986744996573
0,398,0.02605798674561606
