fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.69,0.0001,500.0,0.026373462754513487,0.02774652791685736,161.0,18.0,13.0,1309.0,0.9793471019320453,0.8994413407821229,0.9252873563218391,0.9121813031161473,0.9252873563218391,0.013564431047475508
1,6000.0,1500.0,0.69,0.0001,500.0,0.02630912727555194,0.026986326955950622,144.0,21.0,30.0,1305.0,0.966,0.8727272727272727,0.8275862068965517,0.8495575221238938,0.8275862068965517,0.01583710407239819
2,6000.0,1500.0,0.69,0.0001,500.0,0.026439022370030433,0.026670304454948418,150.0,19.0,24.0,1307.0,0.9713333333333334,0.8875739644970414,0.8620689655172413,0.8746355685131195,0.8620689655172413,0.014328808446455505
3,6000.0,1500.0,0.69,0.0001,500.0,0.02651419580603519,0.025712323750568346,143.0,9.0,31.0,1317.0,0.9733333333333334,0.9407894736842105,0.8218390804597702,0.8773006134969326,0.8218390804597702,0.006787330316742082
4,6001.0,1499.0,0.69,0.0001,500.0,0.026462946583300045,0.025782116275590405,148.0,9.0,25.0,1317.0,0.9773182121414277,0.9426751592356688,0.8554913294797688,0.8969696969696971,0.8554913294797688,0.006787330316742082
mean,6000.0,1500.0,0.69,0.0001,500.0,0.026419750957886217,0.026579519870783032,149.2,15.2,24.6,1311.0,0.973466396148028,0.9086414421852632,0.8584545877350342,0.8821289408439581,0.8584545877350342,0.011461000839962673
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,7.146646148715751e-05,0.0007646598236351099,6.43117407632541,5.1536394906900505,6.406246951218788,5.059644256269407,0.0046847395037197,0.028319950124791615,0.036829379282936156,0.021277937925555324,0.036829379282936156,0.0038854963885174383
