lr,seed,mse_test,mse_train,wnorm,accuracy,f1
0.0001,7,0.0112786664339035,0.01124062879385776,1.7528268150757178,0.7758652052141652,0.5084022450845247
0.0001,13,0.01128114032890598,0.01124365588729198,1.7516540786946777,0.7774715168614149,0.510509934134492
0.0001,21,0.01127812063220544,0.01124967343266668,1.74980075795851,0.7765286714053354,0.5094079556968538
0.0001,42,0.01128884717361808,0.01124931621713888,1.7496498940539627,0.7774663609480122,0.5102117907712655
0.0001,99,0.01128301470668172,0.01124468630744364,1.7512370756433142,0.7769316055103432,0.5098387820277794
0.001,7,0.01098468453212796,0.010951502241403021,1.9825412485918814,0.7677329370072312,0.4994618576194568
0.001,13,0.0109934276908306,0.01095054621814712,1.982955569201268,0.7677370261349746,0.4996461080503547
0.001,21,0.010982542509926679,0.01095176819727304,1.9831799442189262,0.7677282253606927,0.4997820219511377
0.001,42,0.010987789713568199,0.010951149958859721,1.9831374514885685,0.7675997816887918,0.49943597859914046
0.001,99,0.01098453661689432,0.01095150396917172,1.9828923651173505,0.7675986257179077,0.499629741468698
0.01,7,0.0109873480775433,0.01095324941108686,1.9767701747727355,0.7683994260145598,0.5001827255169332
0.01,13,0.01099810794312254,0.010955877787131979,1.9782874270222617,0.7693373820462439,0.5014215104345822
0.01,21,0.01098954522172494,0.01095912627676058,1.97933774769938,0.7702611145456805,0.5025849532118077
0.01,42,0.01099103648571848,0.01095435705152244,1.981363122626178,0.7695996930961598,0.5016026826637938
0.01,99,0.010988466926031022,0.01095588310293716,1.980171037918891,0.7674651146067176,0.4995063573189631
