k,n_folds,n_train_mean,n_test_mean,positivos_test_mean,mse_test_mean,mse_test_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
2,2,3750.0,3750.0,434.5,0.01096344025337645,6.012545526450086e-06,0.9706665223585083,0.0005411555940378343,0.8862068965517241,0.010344827586206917,0.857285873192436,0.018576195773081172,0.8712643678160918,0.004597701149425315
3,3,5000.0,2500.0,289.6666666666667,0.010967862583221069,0.000283091867934446,0.9707999970133327,0.001697078801557689,0.8880152031876171,0.009418633055767029,0.8561508173249016,0.01725036500361467,0.8716440586118933,0.008260579450710355
5,5,6000.0,1500.0,173.8,0.01099103648571848,0.00043718732859860667,0.9709322626365612,0.006835144027094965,0.8871932838759523,0.029748796358552182,0.8584612318118398,0.03361444312241635,0.8724476421876931,0.029804408431208428
10,10,6750.0,750.0,86.9,0.01098836361035826,0.0006198379463278493,0.9706641682918548,0.008460876016552194,0.8866984954895732,0.03320719958338838,0.8560946271050522,0.047989605249381756,0.8707928718367173,0.03802166090446147
