perceptron,lr,seed,fold,mse_train,mse_test,accuracy,precision,recall,f1,wnorm,bias
linear,0.0001,21,0,0.0264929809591591,0.0258080869881401,0.8427714856762158,0.4232673267326732,0.9827586206896552,0.5916955017301038,0.2018921283722898,0.4249483107364766
linear,0.0001,21,1,0.0263126082883176,0.0264829194163131,0.838,0.4160583941605839,0.9827586206896552,0.5846153846153846,0.20142401491020126,0.4219536755959467
linear,0.0001,21,2,0.0265952102764465,0.0254268663857512,0.8453333333333334,0.4278606965174129,0.9885057471264368,0.5972222222222222,0.20164368828997917,0.4241483951282741
linear,0.0001,21,3,0.0262883939326386,0.0271169583376256,0.85,0.4357682619647355,0.9942528735632185,0.6059544658493871,0.20322215074667346,0.4237424482079045
linear,0.0001,21,4,0.0261229990534816,0.0273477493192243,0.8392261507671781,0.4170731707317073,0.9884393063583816,0.5866209262435677,0.20211465217962968,0.4220583602293241
linear,0.0001,99,0,0.0262739656652607,0.0270159379507315,0.8447701532311792,0.4260651629072681,0.9770114942528736,0.5933682373472948,0.20396617828063263,0.4245370305050088
linear,0.0001,99,1,0.0255018028750659,0.0302221870205241,0.834,0.4105011933174224,0.9885057471264368,0.5801011804384486,0.20419764673689872,0.4213891206121107
linear,0.0001,99,2,0.0266340666091646,0.0259484936301883,0.8406666666666667,0.4213075060532688,1.0,0.5928449744463373,0.2041201255053918,0.4249348714226461
linear,0.0001,99,3,0.0266158042357028,0.0258263662281211,0.8473333333333334,0.4310776942355889,0.9885057471264368,0.600349040139616,0.2025128723757974,0.4242513815304751
linear,0.0001,99,4,0.026963854845904,0.0235480809542284,0.8405603735823882,0.4191176470588235,0.9884393063583816,0.5886402753872634,0.2015305220119961,0.4229914991775366
linear,1e-05,42,0,0.0260579867614854,0.0266299787888201,0.8387741505662891,0.4170731707317073,0.9827586206896552,0.5856164383561643,0.19590154808489832,0.4222076359163627
linear,1e-05,42,1,0.026001655830523,0.0266392762843657,0.8326666666666667,0.4081145584725537,0.9827586206896552,0.5767284991568297,0.1943578376773827,0.4208250255352139
linear,1e-05,42,2,0.0261248048389067,0.0261738659063392,0.838,0.4160583941605839,0.9827586206896552,0.5846153846153846,0.19518684793907354,0.424464897358283
linear,1e-05,42,3,0.0262112730700907,0.0257732023670287,0.8486666666666667,0.4332493702770781,0.9885057471264368,0.6024518388791593,0.19345555567242448,0.4232478079964604
linear,1e-05,42,4,0.0261612808199684,0.0260134772216894,0.8345563709139426,0.4096385542168674,0.9826589595375722,0.5782312925170069,0.1941451294949935,0.4232311912133836
linear,1e-05,7,0,0.0257730892163345,0.0275483771523612,0.8374417055296469,0.4146341463414634,0.9770114942528736,0.5821917808219178,0.19415690970707702,0.4233190061659751
linear,1e-05,7,1,0.0262066970348243,0.0258291198828881,0.8353333333333334,0.4124700239808153,0.9885057471264368,0.5820642978003384,0.19563711069595605,0.4214452886201146
linear,1e-05,7,2,0.0262696766982626,0.0255804422012612,0.8386666666666667,0.4170731707317073,0.9827586206896552,0.5856164383561643,0.19400191594397728,0.4228358608000814
linear,1e-05,7,3,0.0261941666335364,0.025903743865196,0.8373333333333334,0.4150485436893203,0.9827586206896552,0.583617747440273,0.19367246857345863,0.4236506630946148
linear,1e-05,7,4,0.026126662551562,0.0262087178352015,0.8425617078052035,0.4226044226044226,0.9942196531791908,0.593103448275862,0.1949121782122848,0.4224371876486911
linear,1e-05,13,0,0.0257789867909671,0.027647602308697,0.826782145236509,0.3976190476190476,0.9597701149425288,0.5622895622895623,0.1948192002106483,0.4203814550203636
linear,1e-05,13,1,0.0258540203509731,0.0272661344853139,0.8406666666666667,0.4213075060532688,1.0,0.5928449744463373,0.193818214682494,0.422355343307401
linear,1e-05,13,2,0.0262417930374724,0.0256955211060238,0.8386666666666667,0.4174757281553398,0.9885057471264368,0.5870307167235495,0.19611712376139856,0.4226895178635153
linear,1e-05,13,3,0.0260337813780396,0.0264978548896396,0.8353333333333334,0.4128878281622912,0.9942528735632185,0.5834738617200674,0.19427851763974807,0.4222237771369647
linear,1e-05,13,4,0.0266642980999174,0.0239691038434758,0.85657104736491,0.4450261780104712,0.9826589595375722,0.6126126126126126,0.1937732547788692,0.4262530854293425
linear,1e-05,21,0,0.0262341355104395,0.0257181692186974,0.8374417055296469,0.4150485436893203,0.9827586206896552,0.583617747440273,0.19416127184446302,0.424564053245768
linear,1e-05,21,1,0.0260689287877912,0.0263521579815219,0.834,0.4092009685230024,0.971264367816092,0.5758091993185689,0.19397122034287514,0.4212761305996633
linear,1e-05,21,2,0.0263547187045058,0.0252241057033847,0.844,0.4257425742574257,0.9885057471264368,0.5951557093425605,0.19410326835864716,0.4233855259275341
linear,1e-05,21,3,0.0260384411059513,0.02655667650401,0.8473333333333334,0.4310776942355889,0.9885057471264368,0.600349040139616,0.19546466786786967,0.4230740078740893
linear,1e-05,21,4,0.0258872245486318,0.0270978513622066,0.8352234823215477,0.4106280193236715,0.9826589595375722,0.5792163543441227,0.19466863970548043,0.4214188665582138
linear,1e-05,99,0,0.0259776597191874,0.0267363498002283,0.8414390406395736,0.4203980099502487,0.971264367816092,0.5868055555555556,0.19513515687664104,0.423843453816026
linear,1e-05,99,1,0.0252289823445695,0.0297807825274808,0.8313333333333334,0.4052757793764988,0.971264367816092,0.571912013536379,0.195773452401749,0.4202193238060149
linear,1e-05,99,2,0.0263392709473712,0.0253320476647824,0.8406666666666667,0.4213075060532688,1.0,0.5928449744463373,0.19508821972302823,0.4239803089024924
linear,1e-05,99,3,0.0263237524787955,0.0253671654320196,0.8453333333333334,0.4275,0.9827586206896552,0.5958188153310106,0.19368081167239123,0.4233227107133114
linear,1e-05,99,4,0.0267028162721562,0.023849860768413,0.8358905937291528,0.4120481927710843,0.9884393063583816,0.5816326530612245,0.19327258447328022,0.4224924577939756
