fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,0.001,500.0,0.010931205660466016,0.011062647261058017,174.0,341.0,0.0,986.0,0.7728181212524984,0.3378640776699029,1.0,0.5050798258345428,1.0,0.2569706103993971
1,6000.0,1500.0,0.5,0.001,500.0,0.010835906573473896,0.011433986468099946,174.0,370.0,0.0,956.0,0.7533333333333333,0.31985294117647056,1.0,0.4846796657381615,1.0,0.2790346907993967
2,6000.0,1500.0,0.5,0.001,500.0,0.011145541956985404,0.010218117433227902,174.0,335.0,0.0,991.0,0.7766666666666666,0.3418467583497053,1.0,0.5095168374816984,1.0,0.2526395173453997
3,6000.0,1500.0,0.5,0.001,500.0,0.01086999228958572,0.01131797416094679,174.0,354.0,0.0,972.0,0.764,0.32954545454545453,1.0,0.4957264957264957,1.0,0.2669683257918552
4,6001.0,1499.0,0.5,0.001,500.0,0.01097310331378777,0.010906223244508524,173.0,343.0,0.0,983.0,0.771180787191461,0.33527131782945735,1.0,0.5021770682148041,1.0,0.25867269984917046
mean,6000.0,1500.0,0.5,0.001,500.0,0.010951149958859761,0.010987789713568237,173.8,348.6,0.0,977.6,0.7675997816887918,0.33287610991419814,1.0,0.4994359785991406,1.0,0.2628571688370438
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.00010819942599060634,0.00042726232538351796,0.4,12.338557452149743,0.0,12.467557900406959,0.008231075850704204,0.007639182754711438,0.0,0.008631330513208758,0.0,0.009329261292347905
