fpr,tpr,threshold
0.0,0.0,1.0000000009312964
0.0,0.0011507479861910242,0.9999999999312964
0.0,0.0023014959723820483,0.9999999997568594
0.0,0.0034522439585730723,0.9999999985374564
0.0,0.004602991944764097,0.9999999979646266
0.0,0.005753739930955121,0.9999999959812368
0.0,0.006904487917146145,0.9999999957721236
0.0,0.00805523590333717,0.9999999956341512
0.0,0.009205983889528193,0.9999999948421804
0.0,0.010356731875719217,0.999999984028818
0.0,0.011507479861910242,0.9999999777928644
0.0,0.012658227848101266,0.9999999280215578
0.0,0.01380897583429229,0.999999926841204
0.0,0.014959723820483314,0.9999999224927374
0.0,0.01611047180667434,0.9999999064505966
0.0,0.01726121979286536,0.9999998892759908
0.0,0.018411967779056387,0.999999830758136
0.0,0.019562715765247412,0.999999821424869
0.0,0.020713463751438434,0.9999996754375636
0.0,0.02186421173762946,0.9999995348920424
0.0,0.023014959723820484,0.9999995216970008
0.0,0.024165707710011506,0.9999994217481556
0.0,0.02531645569620253,0.9999993474492956
0.0,0.026467203682393557,0.9999991182899456
0.0,0.02761795166858458,0.999998969548187
0.0,0.028768699654775604,0.9999989220549824
0.0,0.02991944764096663,0.9999989025885542
0.0,0.031070195627157654,0.9999988383697208
0.0,0.03222094361334868,0.9999987683137284
0.0,0.0333716915995397,0.999998664963438
0.0,0.03452243958573072,0.9999986471326772
0.0,0.03567318757192175,0.9999986155339888
0.0,0.03682393555811277,0.9999985994629224
0.0,0.0379746835443038,0.99999857965267
0.0,0.039125431530494824,0.99999840738366
0.0,0.04027617951668585,0.9999982220392708
0.0,0.04142692750287687,0.9999981380830728
0.0,0.04257767548906789,0.9999972792389222
0.0,0.04372842347525892,0.9999972300597998
0.0,0.04487917146144994,0.9999971959868575
0.0,0.04602991944764097,0.9999971167164596
0.0,0.047180667433831994,0.9999968424434744
0.0,0.04833141542002301,0.9999967612530712
0.0,0.04948216340621404,0.9999967250368692
0.0,0.05063291139240506,0.999996472821894
0.0,0.05178365937859609,0.9999960295449576
0.0,0.05293440736478711,0.999995215694482
0.0,0.05408515535097814,0.9999947166344476
0.0,0.05523590333716916,0.9999946625341312
0.0,0.05638665132336018,0.9999936509667396
0.0,0.05753739930955121,0.9999935285833716
0.0,0.05868814729574223,0.9999931802182748
0.0,0.05983889528193326,0.9999924643067802
0.0,0.06098964326812428,0.9999924463270028
0.0,0.06214039125431531,0.9999921713053193
0.0,0.06329113924050633,0.9999920802973362
0.0,0.06444188722669736,0.999991915872147
0.0,0.06559263521288838,0.999991522657275
0.0,0.0667433831990794,0.9999913552346704
0.0,0.06789413118527042,0.9999899670722826
0.0,0.06904487917146145,0.9999892855226412
0.0,0.07019562715765247,0.9999889488785636
0.0,0.0713463751438435,0.999988844206292
0.0,0.07249712313003452,0.9999873296893252
0.0,0.07364787111622555,0.9999870708237688
0.0,0.07479861910241657,0.9999869389050068
0.0,0.0759493670886076,0.9999861249269828
0.0,0.07710011507479862,0.9999858712011156
0.0,0.07825086306098965,0.9999855824838624
0.0,0.07940161104718067,0.9999852244849508
0.0,0.0805523590333717,0.9999848982340814
0.0,0.08170310701956271,0.9999841755695412
0.0,0.08285385500575373,0.9999841089807808
0.0,0.08400460299194476,0.9999826206852944
0.0,0.08515535097813579,0.9999812755929852
0.0,0.08630609896432681,0.9999806725037516
0.0,0.08745684695051784,0.999980226679124
0.0,0.08860759493670886,0.9999792431399432
0.0,0.08975834292289989,0.999978241518994
0.0,0.09090909090909091,0.9999777347292048
0.0,0.09205983889528194,0.9999776320614778
0.0,0.09321058688147296,0.9999758041081456
0.0,0.09436133486766399,0.9999751900753228
0.0,0.09551208285385501,0.9999749477449236
0.0,0.09666283084004602,0.9999745128217488
0.0,0.09781357882623705,0.9999732641342812
0.0,0.09896432681242807,0.9999730135639708
0.0,0.1001150747986191,0.999972943871733
0.0,0.10126582278481013,0.9999726934206338
0.0,0.10241657077100115,0.9999719458760864
0.0,0.10356731875719218,0.9999709707691784
0.0,0.1047180667433832,0.9999649856819908
0.0,0.10586881472957423,0.9999643316755384
0.0,0.10701956271576525,0.9999633863454668
0.0,0.10817031070195628,0.9999629781248762
0.0,0.1093210586881473,0.9999571601850464
0.0,0.11047180667433831,0.9999513083292
0.0,0.11162255466052934,0.9999506579735348
0.0,0.11277330264672036,0.999946657343843
0.0,0.11392405063291139,0.9999464513462156
0.0,0.11507479861910241,0.9999462481344292
0.0,0.11622554660529344,0.9999404165522032
0.0,0.11737629459148446,0.9999389352927897
0.0,0.11852704257767549,0.9999376744708376
0.0,0.11967779056386652,0.9999372057956198
0.0,0.12082853855005754,0.9999325856510874
0.0,0.12197928653624857,0.9999321036877108
0.0,0.12313003452243959,0.9999282455672804
0.0,0.12428078250863062,0.9999262547402996
0.0,0.12543153049482164,0.999925260294202
0.0,0.12658227848101267,0.999921964436594
0.0,0.1277330264672037,0.9999188976818328
0.0,0.12888377445339472,0.999917097684142
0.0,0.13003452243958574,0.999913891382673
0.0,0.13118527042577677,0.99990822632208
0.0,0.1323360184119678,0.9999049834515072
0.0,0.1334867663981588,0.9999041622982432
0.0,0.13463751438434982,0.9999036920267071
0.0,0.13578826237054084,0.9999017433427136
0.0,0.13693901035673187,0.9999006402535512
0.0,0.1380897583429229,0.9998946778643608
0.0,0.13924050632911392,0.9998859268249302
0.0,0.14039125431530494,0.9998846631614172
0.0,0.14154200230149597,0.9998777658400676
0.0,0.142692750287687,0.9998758898506022
0.0,0.14384349827387802,0.9998731098699668
0.0,0.14499424626006904,0.999868262378206
0.0,0.14614499424626007,0.9998570491524782
0.0,0.1472957422324511,0.9998563037840272
0.0,0.14844649021864212,0.9998488354800774
0.0,0.14959723820483314,0.9998419031306518
0.0,0.15074798619102417,0.9998409865402812
0.0,0.1518987341772152,0.9998382885863978
0.0,0.15304948216340622,0.9998377863014264
0.0,0.15420023014959724,0.9998301601454768
0.0,0.15535097813578827,0.9998290486670532
0.0,0.1565017261219793,0.9998103325155904
0.0,0.15765247410817032,0.9998080780207071
0.0,0.15880322209436135,0.9998003346881472
0.0,0.15995397008055237,0.9997881757942344
0.0,0.1611047180667434,0.9997785412447102
0.0,0.1622554660529344,0.999767725071927
0.0,0.16340621403912542,0.9997671670909272
0.0,0.16455696202531644,0.99976127318896
0.0,0.16570771001150747,0.999760966720969
0.0,0.1668584579976985,0.9997557302697648
0.0,0.16800920598388952,0.9997551739184888
0.0,0.16915995397008055,0.9997475150751176
0.0,0.17031070195627157,0.9997459966601976
0.0,0.1714614499424626,0.9997449629896588
0.0,0.17261219792865362,0.9997204289536604
0.0,0.17376294591484465,0.9997203765910964
0.0,0.17491369390103567,0.999719904504084
0.0,0.1760644418872267,0.9997147414124952
0.0,0.17721518987341772,0.9997093882606976
0.0,0.17836593785960875,0.99970841729205
0.0,0.17951668584579977,0.9997000972344268
0.0,0.1806674338319908,0.9996969672512296
0.0,0.18181818181818182,0.9996967944199242
0.0,0.18296892980437285,0.9996964100532532
0.0,0.18411967779056387,0.9996927085892487
0.0,0.1852704257767549,0.9996795456423638
0.0,0.18642117376294592,0.9996792765226556
0.0,0.18757192174913695,0.9996769469883844
0.0,0.18872266973532797,0.9996768173399196
0.0,0.189873417721519,0.9996753250987312
0.0,0.19102416570771003,0.9996668499515268
0.0,0.19217491369390102,0.9996556997435349
0.0,0.19332566168009205,0.99964560039064
0.0,0.19447640966628307,0.9996354848282424
0.0,0.1956271576524741,0.999599681456974
0.0,0.19677790563866512,0.999580244785161
0.0,0.19792865362485615,0.9995382507476894
0.0,0.19907940161104717,0.9995111482185844
0.0,0.2002301495972382,0.9995103334054648
0.0,0.20138089758342922,0.9995068754384197
0.0,0.20253164556962025,0.9994865474301348
0.0,0.20368239355581128,0.9994836568362016
0.0,0.2048331415420023,0.9994628481589186
0.0,0.20598388952819333,0.9994598151424496
0.0,0.20713463751438435,0.9994517968808307
0.0,0.20828538550057538,0.9994390943652854
0.0,0.2094361334867664,0.9994350200737118
0.0,0.21058688147295743,0.999429229946244
0.0,0.21173762945914845,0.9994184172884726
0.0,0.21288837744533948,0.9994049467213556
0.0,0.2140391254315305,0.9993862193719044
0.0,0.21518987341772153,0.9993675825897652
0.0,0.21634062140391255,0.9993314193915253
0.0,0.21749136939010358,0.9993254452011756
0.0,0.2186421173762946,0.9992990851815776
0.0,0.21979286536248563,0.9992797401371096
0.0,0.22094361334867663,0.999279125684609
0.0,0.22209436133486765,0.999277324773893
0.0,0.22324510932105868,0.9992395542761076
0.0,0.2243958573072497,0.9992312687331848
0.0,0.22554660529344073,0.999220742024544
0.0,0.22669735327963175,0.9992205684095792
0.0,0.22784810126582278,0.9992176631151616
0.0,0.2289988492520138,0.9992061706634512
0.0,0.23014959723820483,0.9991994370123566
0.0,0.23130034522439585,0.99918831793448
0.0,0.23245109321058688,0.9991832031238626
0.0,0.2336018411967779,0.9991425920805268
0.0,0.23475258918296893,0.9991338350949358
0.0,0.23590333716915995,0.999121791002282
0.0,0.23705408515535098,0.9990991733758008
0.0,0.238204833141542,0.9990652849073623
0.0,0.23935558112773303,0.9990598539457396
0.0,0.24050632911392406,0.9990540953212392
0.0,0.24165707710011508,0.9990143923672196
0.0,0.2428078250863061,0.998981366981372
0.0,0.24395857307249713,0.9989718991457024
0.0,0.24510932105868816,0.9989295869285336
0.0,0.24626006904487918,0.9989005345132604
0.0,0.2474108170310702,0.9988983824867164
0.0,0.24856156501726123,0.9988528706568096
0.0,0.24971231300345226,0.9988248321132314
0.0,0.2508630609896433,0.9988121179881244
0.0,0.2520138089758343,0.9988089741995688
0.0,0.25316455696202533,0.998788946324083
0.0,0.25431530494821636,0.9987754795203696
0.0,0.2554660529344074,0.9987642712110004
0.0,0.2566168009205984,0.9987612165377312
0.0,0.25776754890678943,0.9987585707065696
0.0,0.25891829689298046,0.9987245588845384
0.0,0.2600690448791715,0.9986737363803796
0.0,0.2612197928653625,0.9986647951694052
0.0,0.26237054085155354,0.9986294769419356
0.0,0.26352128883774456,0.9986286414691792
0.0,0.2646720368239356,0.9985762726991828
0.0,0.26582278481012656,0.9985732808521314
0.0,0.2669735327963176,0.9985682338383712
0.0,0.2681242807825086,0.9985589019655524
0.0,0.26927502876869963,0.9984805969207518
0.0,0.27042577675489066,0.9984602877755504
0.0,0.2715765247410817,0.998458348820705
0.0,0.2727272727272727,0.9984398957080524
0.0,0.27387802071346373,0.9984059673756942
0.0,0.27502876869965476,0.998399612225968
0.0,0.2761795166858458,0.9983981037963718
0.0,0.2773302646720368,0.9983945881486062
0.0,0.27848101265822783,0.9983652314551756
0.0,0.27963176064441886,0.9983607565603468
0.0,0.2807825086306099,0.998336391711863
0.0,0.2819332566168009,0.9983137709851684
0.0,0.28308400460299193,0.9983020334247756
0.0,0.28423475258918296,0.9982797718382522
0.0,0.285385500575374,0.9982743441130398
0.0,0.286536248561565,0.9981949323761076
0.0,0.28768699654775604,0.9981681355311915
0.0,0.28883774453394706,0.9981141133192468
0.0,0.2899884925201381,0.998077138241046
0.0,0.2911392405063291,0.9980746782403016
0.0,0.29228998849252014,0.9980371805227768
0.0,0.29344073647871116,0.9980094099235174
0.0,0.2945914844649022,0.9979664065707032
0.0,0.2957422324510932,0.9979601602580324
0.0,0.29689298043728424,0.9979600285196134
0.0,0.29804372842347526,0.997942251853969
0.0,0.2991944764096663,0.9979224210488896
0.0,0.3003452243958573,0.9978663246435462
0.0,0.30149597238204834,0.9978367303276768
0.0,0.30264672036823936,0.9978131331554358
0.0,0.3037974683544304,0.9977661390629232
0.0,0.3049482163406214,0.9977656659156018
0.0,0.30609896432681244,0.9976775766722208
0.0,0.30724971231300346,0.9976139437150652
0.0,0.3084004602991945,0.9975416971046656
0.0,0.3095512082853855,0.9975296214844004
0.0,0.31070195627157654,0.9975076399504952
0.0,0.31185270425776757,0.9974780128493304
0.0,0.3130034522439586,0.9974236856136204
0.0,0.3141542002301496,0.997421670446549
0.0,0.31530494821634064,0.9974068396592196
0.0,0.31645569620253167,0.9974044466768632
0.0,0.3176064441887227,0.9973890753828272
0.0,0.3187571921749137,0.9973687096587688
0.0,0.31990794016110474,0.9973529786875284
