threshold,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0.0,869,6631,0,0,0.11586666666666667,0.11586666666666667,1.0,0.20767116740351296,1.0,1.0
0.01,869,6615,0,16,0.118,0.11611437733832175,1.0,0.20806895726086436,1.0,0.9975870909365103
0.02,869,6582,0,49,0.1224,0.11662864045094617,1.0,0.20889423076923075,1.0,0.9926104659930629
0.03,869,6545,0,86,0.12733333333333333,0.1172106824925816,1.0,0.20982735723771578,1.0,0.987030613783743
0.04,869,6488,0,143,0.13493333333333332,0.11811879842327036,1.0,0.2112813031850231,1.0,0.9784346252450611
0.05,869,6406,0,225,0.14586666666666667,0.11945017182130584,1.0,0.21340864440078583,1.0,0.9660684662946765
0.06,869,6311,0,320,0.15853333333333333,0.12103064066852368,1.0,0.2159274444030314,1.0,0.9517418187302066
0.07,869,6224,0,407,0.17013333333333333,0.12251515578739602,1.0,0.21828686259733734,1.0,0.9386216256974815
0.08,869,6112,0,519,0.18506666666666666,0.12448073341928091,1.0,0.2214012738853503,1.0,0.9217312622530538
0.09,869,6014,0,617,0.19813333333333333,0.12625308731657708,1.0,0.22420020639834884,1.0,0.9069521942391796
0.1,869,5894,0,737,0.21413333333333334,0.12849327221647197,1.0,0.22772536687631026,1.0,0.888855376263007
0.11,869,5783,0,848,0.22893333333333332,0.13063740228502707,1.0,0.23108629171652706,1.0,0.8721158196350475
0.12,869,5661,0,970,0.2452,0.13307810107197549,1.0,0.23489660764968237,1.0,0.8537173880259388
0.13,869,5548,0,1083,0.26026666666666665,0.13542153654355618,1.0,0.23853966511117208,1.0,0.836676217765043
0.14,869,5413,0,1218,0.27826666666666666,0.13833174148360394,1.0,0.24304293105859323,1.0,0.8163172975418489
0.15,869,5279,0,1352,0.29613333333333336,0.14134677944046845,1.0,0.24768419552515322,1.0,0.7961091841351229
0.16,869,5159,0,1472,0.3121333333333333,0.14416058394160583,1.0,0.25199362041467305,1.0,0.7780123661589504
0.17,869,5012,0,1619,0.3317333333333333,0.14776398571671484,1.0,0.2574814814814815,1.0,0.755843764138139
0.18,869,4896,0,1735,0.3472,0.1507372072853426,1.0,0.2619837202291227,1.0,0.7383501734278389
0.19,869,4780,0,1851,0.3626666666666667,0.153832536732165,1.0,0.2666462104940166,1.0,0.7208565827175388
0.2,869,4654,0,1977,0.3794666666666667,0.15734202426217636,1.0,0.2719023779724656,1.0,0.7018549238425577
0.21,869,4527,0,2104,0.3964,0.1610452186805041,1.0,0.27741420590582605,1.0,0.6827024581511084
0.22,869,4411,0,2220,0.41186666666666666,0.16458333333333333,1.0,0.2826475849731664,1.0,0.6652088674408083
0.23,869,4292,0,2339,0.42773333333333335,0.16837822127494673,1.0,0.28822553897180764,1.0,0.6472628562811039
0.24,869,4182,0,2449,0.4424,0.17204513957632153,1.0,0.29358108108108105,1.0,0.6306741064696124
0.25,869,4052,0,2579,0.4597333333333333,0.176590123958545,1.0,0.3001727115716753,1.0,0.6110692203287589
0.26,869,3920,0,2711,0.47733333333333333,0.18145750678638548,1.0,0.3071756804524567,1.0,0.5911627205549691
