opt,arch,lr,lr_label,val_acc,val_acc_std,macro_f1,val_loss,train_loss,overfit_gap,best_epoch
sgd,arch_shallow,0.01,1e-2,0.950867479402937,0.0052790113826305,0.8444185792559156,0.1942455387533003,0.0311130560873095,0.1631324826659908,18.6
momentum,arch_shallow,0.01,1e-2,0.954349316797718,0.0062272360755554,0.8498996253065031,0.2341394028869553,0.0195860343422916,0.21455336854466373,4.733333333333333
adam,arch_wider,0.001,1e-3,0.9583116871240774,0.0035959532557052,0.8536635869158157,0.1700948379990134,0.014795608578114,0.1552992294208994,3.4
