fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,4999.0,2501.0,0.69,0.0001,500.0,0.025948482134572494,0.028016950723284622,255.0,32.0,35.0,2179.0,0.9732107157137145,0.8885017421602788,0.8793103448275862,0.8838821490467937,0.8793103448275862,0.014473089099954772
1,5000.0,2500.0,0.69,0.0001,500.0,0.026470516309754874,0.025965851014535066,243.0,25.0,47.0,2185.0,0.9712,0.9067164179104478,0.8379310344827586,0.8709677419354838,0.8379310344827586,0.011312217194570135
2,5001.0,2499.0,0.69,0.0001,500.0,0.026455915054647523,0.025739994165407842,245.0,15.0,44.0,2195.0,0.976390556222489,0.9423076923076923,0.8477508650519031,0.8925318761384335,0.8477508650519031,0.006787330316742082
mean,5000.0,2500.0,0.69,0.0001,500.0,0.02629163783299163,0.026574265301075845,247.66666666666666,24.0,42.0,2186.3333333333335,0.9736004239787345,0.9125086174594731,0.854997414787416,0.882460589040237,0.854997414787416,0.010857545537088995
std,0.816496580927726,0.816496580927726,0.0,0.0,0.0,0.00024272092916326958,0.0010242912182462924,5.2493385826745405,6.97614984548545,5.0990195135927845,6.599663291074444,0.002136878232932912,0.022344757021551802,0.01765306759849091,0.008860722153409707,0.01765306759849091,0.0031541260549234275
