threshold,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,f1_mean,f1_std,tp_total,fp_total,fn_total,tn_total
0.0,0.11776748541461105,0.00041970678891822155,1.0,0.0,0.9817520098294956,0.002839874372124254,0.21071885874530621,0.0006718024652733567,869,6510,0,121
0.01,0.11802373459206364,0.00047940302394440293,1.0,0.0,0.9793390778141875,0.0032581148664193446,0.21112888230384153,0.0007670176012677004,869,6494,0,137
0.02,0.11832933724751815,0.00048759283868618156,1.0,0.0,0.9764737707731636,0.0038592242000792553,0.21161771090324333,0.0007795659788473622,869,6475,0,156
0.03,0.11868661010254797,0.0006882324876720761,1.0,0.0,0.9731558613822898,0.005515242925075799,0.2121885266965795,0.001099297599210748,869,6453,0,178
0.04,0.11906033228841843,0.000627844846414996,1.0,0.0,0.9696870087667552,0.005491921601184279,0.21278569926576546,0.0010022385523296405,869,6430,0,201
0.05,0.11951956529978694,0.0006947429408052293,1.0,0.0,0.9654644629865163,0.006137858798109712,0.21351869885371869,0.001107856588847438,869,6402,0,229
0.06,0.11993043633444138,0.0005422397117661698,1.0,0.0,0.9616944058940602,0.004854677263083715,0.21417437758545388,0.0008640605749280505,869,6377,0,254
0.07,0.12044593295803363,0.0005888135940921442,1.0,0.0,0.9570194850881052,0.004892008574412347,0.2149959287445325,0.0009373963895893641,869,6346,0,285
0.08,0.12113392088192702,0.0004855776769662846,1.0,0.0,0.9508362686562075,0.004903154515308629,0.21609146082294087,0.0007723220522927047,869,6305,0,326
0.09,0.12172807462414763,0.00048447351302593426,1.0,0.0,0.945557802275742,0.005306895001507326,0.21703635820247177,0.0007699872380871885,869,6270,0,361
0.1,0.12232766433765496,0.00048100082263075603,1.0,0.0,0.9402797905435435,0.005131360057392034,0.2179888896358751,0.0007636551173904375,869,6235,0,396
0.11,0.12312436761026391,0.0004236210174410228,1.0,0.0,0.9333432219331417,0.004592097753761304,0.219253056719859,0.0006716981281545993,869,6189,0,442
0.12,0.12393362007782623,0.0005904566512939317,1.0,0.0,0.9264059713503394,0.00597232092717945,0.22053498868623106,0.0009348150979119101,869,6143,0,488
0.13,0.12487812480945079,0.0006713339070355355,1.0,0.0,0.9184138231259116,0.006384360544922822,0.22202897510800046,0.0010612396505615932,869,6090,0,541
0.14,0.1259637554458169,0.0006670380314720853,1.0,0.0,0.9093654133150565,0.0058638356455741674,0.22374326689157376,0.0010521841032086845,869,6030,0,601
0.15,0.1273292837274274,0.0006614727353836181,1.0,0.0,0.8982051623037481,0.005484152738029469,0.22589484993351622,0.0010402267563891594,869,5956,0,675
0.16,0.12889933269270845,0.0008763687422992004,1.0,0.0,0.8856872179049582,0.006923895362493196,0.22836177997205126,0.0013742647958613424,869,5873,0,758
0.17,0.1304100014062901,0.0010106684481722356,1.0,0.0,0.8739246716018737,0.007956512311813926,0.23072903225848748,0.001580274029097059,869,5795,0,836
0.18,0.13233969265965156,0.001263598230963252,1.0,0.0,0.8592969319198319,0.009161802849848362,0.2337433721621082,0.001968287583223022,869,5698,0,933
0.19,0.13428353213880356,0.00136809563377302,1.0,0.0,0.8449697147423111,0.00934343661111664,0.23676986599893096,0.0021229279143798302,869,5603,0,1028
