arch,opt,lr,val_acc_final_mean,macro_f1_mean,val_loss_final_mean,train_loss_final_mean,best_epoch_mean,val_acc_final_std,macro_f1_std,val_loss_final_std,train_loss_final_std,best_epoch_std,n
arch_base,adam,0.0001,0.9528209869480752,0.8469365900209012,0.18479207681456647,0.0279665136997914,10.466666666666667,0.002868127651125818,0.004351009831920695,0.019711492658264607,0.008768262673711679,1.5522640914238175,15
arch_base,adam,0.0005,0.9541055269927853,0.8483116237154155,0.17411007979934537,0.026560592424198167,2.933333333333333,0.004951678809266627,0.007236806812525088,0.01880472082966859,0.010795130091837515,1.0327955589886444,15
arch_base,adam,0.001,0.9547759126527294,0.8493065057424674,0.175050052518617,0.022940921053684487,3.466666666666667,0.004371710971524233,0.004971520389357482,0.01957948128490418,0.010829658812769788,0.9904304018720251,15
arch_base,adam,0.005,0.9532781516934449,0.8472123027648214,0.1888782629162217,0.030294602047839334,2.533333333333333,0.005752956778817428,0.007654737511550211,0.017498586956401215,0.016943407097564506,1.1254628677422753,15
arch_base,adam,0.01,0.9465037951490131,0.8405580430455794,0.2153420959975158,0.0643402313524761,1.6,0.007834135314481207,0.00738814211457643,0.022082430806528764,0.03552233467365725,0.9856107606091623,15
arch_base,momentum,0.0001,0.9464485045680454,0.8395518127908396,0.21296690079908565,0.039835402918675336,92.33333333333333,0.003664507202163607,0.0051587655724088105,0.020748796498763933,0.010787866420525604,19.945162917597937,15
arch_base,momentum,0.0005,0.9465019011845778,0.8393754597336877,0.20836790906576702,0.04050386316714952,17.6,0.0037923943615235027,0.0055221941926849715,0.020304493113264533,0.010990767241123352,3.81350981942582,15
arch_base,momentum,0.001,0.9477877313941623,0.8415525439590695,0.20535679869714318,0.03527846507664158,9.6,0.004214908847558156,0.005913807545749077,0.02167869432783004,0.011674625040646288,2.7723120830300267,15
arch_base,momentum,0.005,0.9505968177109785,0.843673021529621,0.21211523361841522,0.02922316353896194,3.0,0.003879216414873915,0.006312268791155297,0.02494266212286482,0.02178275925289144,1.3093073414159542,15
arch_base,momentum,0.01,0.9466637292201843,0.8407596337841402,0.22780517886214985,0.0573806210223525,2.4,0.007732000900458448,0.010037668708134,0.025318843874009667,0.04036592023917868,1.9198214202665533,15
arch_base,sgd,0.0001,0.9262587951511978,0.8144272063331226,0.26839647761503377,0.1756262098761213,199.0,0.003353019558862824,0.005411328075576674,0.0162794190616226,0.004281974016572778,0.0,15
arch_base,sgd,0.0005,0.9461270901726098,0.8393247182910277,0.21360629695439828,0.03992358680516295,185.93333333333334,0.0037662580982258573,0.005094622202688828,0.020609218658078698,0.011273180531017467,42.20099299215374,15
arch_base,sgd,0.001,0.9463414094694135,0.8395305540715204,0.21302840471643247,0.039455202697945294,92.73333333333333,0.0036177039994968324,0.004957839986473357,0.020736259859012708,0.01080416395149566,19.337109647613048,15
arch_base,sgd,0.005,0.9465826849795663,0.8397959389716166,0.2090024112262138,0.03965176243130492,18.0,0.0036571218389133933,0.005511356619807343,0.02031772554081807,0.012291892712663458,4.456135417280635,15
arch_base,sgd,0.01,0.9475737346386811,0.8407287490895005,0.20611082250712595,0.03790207343845765,9.133333333333333,0.004727041587618937,0.006245074148912082,0.021490843600837535,0.013201960817094235,2.8250579429371676,15
arch_deeper,adam,0.0001,0.9510539391358234,0.8448842281099957,0.19193874485496984,0.026132193890765845,9.466666666666667,0.0048804497211032225,0.0065963571351433095,0.01843004323246945,0.008995681659237044,1.641718031587061,15
arch_deeper,adam,0.0005,0.9520714286105433,0.8454603106837113,0.18472769965154387,0.034677748593752875,2.6,0.0060883372717315575,0.007765881506935606,0.021108911504253106,0.02216720054010826,1.2421180068162376,15
arch_deeper,adam,0.001,0.9534910742681715,0.8475592598247909,0.18209848775824578,0.027435497119929177,3.3333333333333335,0.00780778536725395,0.009708062477374045,0.021754367834797738,0.020309524037216874,1.632993161855452,15
arch_deeper,adam,0.005,0.9513212680272427,0.8462752086156851,0.194792867950259,0.04476706811492892,2.066666666666667,0.005032970104131029,0.007593176249395638,0.022842524715461162,0.01900817761647991,0.7988086367179803,15
arch_deeper,adam,0.01,0.9454843688727316,0.8376276981392382,0.22092622710306814,0.07109656301419179,1.8666666666666667,0.004542579428153854,0.006345209991645139,0.015508140223607837,0.022699228857928626,0.833809387832792,15
arch_deeper,momentum,0.0001,0.9434223256317875,0.8356231513975086,0.2261167760761356,0.046999753229728554,59.13333333333333,0.004755247414374021,0.006718818519337425,0.01877231666960792,0.016225766655165615,13.600770286309244,15
arch_deeper,momentum,0.0005,0.9456711302636577,0.8385248704700581,0.22034021800785894,0.04183215481204281,12.266666666666667,0.004718499952130286,0.006069462714197016,0.01777577094724941,0.013375730624452678,2.814926202195987,15
arch_deeper,momentum,0.001,0.9464210969560322,0.8397988075969849,0.21639575482646667,0.03968522883861492,6.2,0.004138074074841553,0.005776633959193831,0.020294764409612774,0.013696720644740396,1.3732131246511905,15
arch_deeper,momentum,0.005,0.9499539026237714,0.8428871321602993,0.21535028752119578,0.03758355028496493,2.8,0.007164361236625348,0.01006298746654431,0.026837021884523176,0.023653241327539903,1.61245154965971,15
arch_deeper,momentum,0.01,0.942513049138195,0.833900693159012,0.24253628016351414,0.07811236638992144,2.466666666666667,0.005450652496416648,0.008212982284855232,0.02405641886604562,0.027510643020561457,0.990430401872025,15
arch_deeper,sgd,0.0001,0.9286160928836963,0.8156880425288277,0.2655561931664217,0.15158244896706155,199.0,0.004155860153036568,0.006243512094011913,0.015791480082375273,0.007431173602438836,0.0,15
arch_deeper,sgd,0.0005,0.944011112205162,0.8361406060029816,0.22729473360497982,0.043429734944011325,123.13333333333334,0.004802349379493681,0.0066303992836894915,0.01905198495582054,0.011543553844973995,23.108027877362282,15
arch_deeper,sgd,0.001,0.9435291413029264,0.8355891546221706,0.22623413043255625,0.04726296885158201,58.666666666666664,0.005088750133052635,0.006885080062091985,0.01876010233462907,0.015889073073392077,12.976168632572264,15
arch_deeper,sgd,0.005,0.9454842619693166,0.8379088655655138,0.22057852851659623,0.04233802912751953,12.0,0.0045748936872811365,0.005596060520397121,0.0179248825182559,0.013753071740908299,2.5634797778466227,15
arch_deeper,sgd,0.01,0.9462870663541451,0.8394293772094269,0.2152608677063322,0.041907853107271346,5.933333333333334,0.0036107173402987777,0.005323712388453704,0.01878896002738714,0.01534569536492508,1.4375905768565218,15
arch_shallow,adam,0.0001,0.9545620031963005,0.8490743477610858,0.17458048823919958,0.025216360159856354,15.866666666666667,0.004350466941676099,0.007266901438858547,0.01766817807141272,0.006903980056482492,2.0307165050320353,15
arch_shallow,adam,0.0005,0.956651304654179,0.8518243227732517,0.169546693702591,0.020251430123758223,4.8,0.00491823040415442,0.007529754692821382,0.017063043067707756,0.010527848482550591,1.8205179796655988,15
arch_shallow,adam,0.001,0.957239596231495,0.8521225844066442,0.1700749247233624,0.01801943442145532,5.733333333333333,0.004121404395987268,0.00666578455838523,0.016966310830126105,0.010395034536458646,1.6242214252050848,15
arch_shallow,adam,0.005,0.9545607341905797,0.849251984380053,0.19255498066288132,0.024170327812135572,3.2,0.004572884834371337,0.006865907041403715,0.022063645862653122,0.013010205501785244,1.1464230084422216,15
arch_shallow,adam,0.01,0.9472239445239493,0.8420739254838143,0.24925943082510724,0.05313222291132372,2.1333333333333333,0.006301534841612524,0.008658620963088542,0.02413500408541724,0.026655095275233305,1.1872336794093272,15
arch_shallow,momentum,0.0001,0.9500376532529391,0.8436985801288622,0.1978909259695838,0.030209485156571268,197.8,0.004968384390225591,0.00757304640952984,0.015301970350154863,0.0072981949848307396,34.4926493204401,15
arch_shallow,momentum,0.0005,0.9505465163717441,0.8442619468480331,0.19586028595918542,0.030200078685783734,39.06666666666667,0.005020816537119833,0.007602126474454172,0.015797272469871244,0.008093685496571424,8.622782668743364,15
arch_shallow,momentum,0.001,0.9508137810245181,0.8444595255198274,0.19411898422203652,0.03010401330644642,18.933333333333334,0.005083200651749333,0.007781147644275258,0.01707769574428772,0.008142849619049018,3.731462116089285,15
arch_shallow,momentum,0.005,0.952581172780194,0.8465964366123936,0.19995742526639815,0.026822402433185462,4.2,0.005324230326667903,0.007820443300562759,0.021610899875392463,0.013149459875822262,1.4735767952260146,15
arch_shallow,momentum,0.01,0.954349316797718,0.8498996253065031,0.23413940288695534,0.019586034342291614,4.733333333333333,0.006227236075555458,0.008092917631347918,0.0328264551295459,0.021418469077577867,2.344192418560834,15
arch_shallow,sgd,0.0001,0.9243866520374375,0.8130816073332691,0.2798466581278613,0.2084153859916976,199.0,0.005192764039283403,0.007322360358429433,0.012443616369109727,0.003619948653180712,0.0,15
arch_shallow,sgd,0.0005,0.9486724595840067,0.8423272427971255,0.19970267023832322,0.04305748049102887,296.8666666666667,0.004589207694119797,0.007267866690323811,0.014448380910221142,0.0014189534940434476,7.199867723652652,15
arch_shallow,sgd,0.001,0.9500911795217521,0.8438536897630488,0.19813517225189056,0.03170798354857892,187.4,0.004900514966228766,0.007667284273260257,0.015069415354789834,0.0046091541351417666,18.356781541747143,15
arch_shallow,sgd,0.005,0.9505463445040037,0.8442319269139801,0.19567776064840406,0.03108269836990224,37.8,0.005122629521935758,0.007836923048173971,0.015666793575152424,0.0073704694373447005,7.083179270033236,15
arch_shallow,sgd,0.01,0.950867479402937,0.8444185792559156,0.19424553875330033,0.031113056087309545,18.6,0.0052790113826305714,0.008118193751994324,0.01690908292100967,0.008855531570618162,4.322697570466188,15
arch_wider,adam,0.0001,0.9546683877642301,0.8500183392719184,0.1761222990013481,0.018731290492813045,7.933333333333334,0.004731549036122295,0.005987674452391117,0.014539975370587942,0.0039503557563456675,0.7037315505489967,15
arch_wider,adam,0.0005,0.9552848201642009,0.8503392687548018,0.1775384616154894,0.03184771002354862,2.2,0.004967959118099958,0.007084324579128425,0.015969603176059475,0.017133029003747326,1.2649110640673518,15
arch_wider,adam,0.001,0.9583116871240774,0.8536635869158157,0.17009483799901345,0.01479560857811406,3.4,0.003595953255705279,0.0050280443733794885,0.01634204145268393,0.012034733851091751,1.2983506020002016,15
