recall,precision,threshold
0.0011507479861910242,1.0,0.9999999983897084
0.0023014959723820483,1.0,0.9999999960849626
0.0034522439585730723,1.0,0.9999999768395248
0.004602991944764097,1.0,0.9999999669455772
0.005753739930955121,1.0,0.9999999490698838
0.006904487917146145,1.0,0.9999999452160656
0.00805523590333717,1.0,0.9999999440891704
0.009205983889528193,1.0,0.9999999416077628
0.010356731875719217,1.0,0.999999835849246
0.011507479861910242,1.0,0.9999997767896216
0.012658227848101266,1.0,0.9999994020878112
0.01380897583429229,1.0,0.999999271911024
0.014959723820483314,1.0,0.9999992464166044
0.01611047180667434,1.0,0.9999992373628884
0.01726121979286536,1.0,0.9999992248578732
0.018411967779056387,1.0,0.9999986549645806
0.019562715765247412,1.0,0.9999981121719744
0.020713463751438434,1.0,0.9999980357730208
0.02186421173762946,1.0,0.9999974708283772
0.023014959723820484,1.0,0.9999967025751592
0.024165707710011506,1.0,0.9999963713118294
0.02531645569620253,1.0,0.9999963491661644
0.026467203682393557,1.0,0.9999947252567638
0.02761795166858458,1.0,0.9999940007578884
0.028768699654775604,1.0,0.9999938819096242
0.02991944764096663,1.0,0.99999326962915
0.031070195627157654,1.0,0.9999932253195158
0.03222094361334868,1.0,0.9999930792191986
0.0333716915995397,1.0,0.9999927248084776
0.03452243958573072,1.0,0.9999918878475924
0.03567318757192175,1.0,0.9999915709606868
0.03682393555811277,1.0,0.9999911810652576
0.0379746835443038,1.0,0.9999909144361432
0.039125431530494824,1.0,0.9999907141498444
0.04027617951668585,1.0,0.9999903984930718
0.04142692750287687,1.0,0.9999897822665664
0.04257767548906789,1.0,0.9999863460830822
0.04372842347525892,1.0,0.9999855484666302
0.04487917146144994,1.0,0.9999849374802032
0.04602991944764097,1.0,0.999983553712158
0.047180667433831994,1.0,0.999983305317165
0.04833141542002301,1.0,0.9999826160974864
0.04948216340621404,1.0,0.9999816207361718
0.05063291139240506,1.0,0.9999815762933214
0.05178365937859609,1.0,0.9999811942977486
0.05293440736478711,1.0,0.9999764755619636
0.05408515535097814,1.0,0.9999757838897504
0.05523590333716916,1.0,0.9999747161302296
0.05638665132336018,1.0,0.9999719474877587
0.05753739930955121,1.0,0.9999715340773688
0.05868814729574223,1.0,0.9999714729618118
0.05983889528193326,1.0,0.9999687430587528
0.06098964326812428,1.0,0.9999660173351628
0.06214039125431531,1.0,0.9999659704775596
0.06329113924050633,1.0,0.9999638731637412
0.06444188722669736,1.0,0.9999625971547224
0.06559263521288838,1.0,0.9999616625652796
0.0667433831990794,1.0,0.9999592219326376
0.06789413118527042,1.0,0.999953744170207
0.06904487917146145,1.0,0.9999531652340196
0.07019562715765247,1.0,0.999952087880254
0.0713463751438435,1.0,0.9999513257946836
0.07249712313003452,1.0,0.9999451743639858
0.07364787111622555,1.0,0.999945019458146
0.07479861910241657,1.0,0.9999448713280809
0.0759493670886076,1.0,0.9999431024983656
0.07710011507479862,1.0,0.9999429152747136
0.07825086306098965,1.0,0.9999391334463328
0.07940161104718067,1.0,0.9999354957011078
0.0805523590333717,1.0,0.9999331861274826
0.08170310701956271,1.0,0.9999328667317594
0.08285385500575373,1.0,0.9999322891787396
0.08400460299194476,1.0,0.9999302460063338
0.08515535097813579,1.0,0.999929295369756
0.08630609896432681,1.0,0.9999251120277592
0.08745684695051784,1.0,0.9999200530090244
0.08860759493670886,1.0,0.9999196248375056
0.08975834292289989,1.0,0.9999146636682044
0.09090909090909091,1.0,0.9999132452170522
0.09205983889528194,1.0,0.9999123481864391
0.09321058688147296,1.0,0.9999114168069776
0.09436133486766399,1.0,0.9999099196452104
0.09551208285385501,1.0,0.9999086542358384
0.09666283084004602,1.0,0.9999084385665956
0.09781357882623705,1.0,0.9999071453378114
0.09896432681242807,1.0,0.9999068964678366
0.1001150747986191,1.0,0.9998991638012064
0.10126582278481013,1.0,0.9998967847944814
0.10241657077100115,1.0,0.9998861827535286
0.10356731875719218,1.0,0.9998861472429332
0.1047180667433832,1.0,0.9998834289403764
0.10586881472957423,1.0,0.9998802960894932
0.10701956271576525,1.0,0.9998606438338524
0.10817031070195628,1.0,0.999853732436778
0.1093210586881473,1.0,0.999849357782276
0.11047180667433831,1.0,0.9998473076623272
0.11162255466052934,1.0,0.9998323052349016
0.11277330264672036,1.0,0.9998288154052064
0.11392405063291139,1.0,0.9998159757028714
0.11507479861910241,1.0,0.9998146222265796
0.11622554660529344,1.0,0.9998052158846816
0.11737629459148446,1.0,0.999800685166759
0.11852704257767549,1.0,0.999799344441848
0.11967779056386652,1.0,0.9997968122214536
0.12082853855005754,1.0,0.9997946747851412
0.12197928653624857,1.0,0.999791335606108
0.12313003452243959,1.0,0.9997835371252988
0.12428078250863062,1.0,0.9997800019213252
0.12543153049482164,1.0,0.99977406668735
0.12658227848101267,1.0,0.9997645047867588
0.1277330264672037,1.0,0.9997351829127816
0.12888377445339472,1.0,0.9997261858399512
0.13003452243958574,1.0,0.9997053168075796
0.13118527042577677,1.0,0.9996891734067656
0.1323360184119678,1.0,0.9996767245340796
0.1334867663981588,1.0,0.9996682153849342
0.13463751438434982,1.0,0.9996661409788238
0.13578826237054084,1.0,0.999664457428004
0.13693901035673187,1.0,0.9996599857368996
0.1380897583429229,1.0,0.999656928915414
0.13924050632911392,1.0,0.999656183390659
0.14039125431530494,1.0,0.9996402930205022
0.14154200230149597,1.0,0.9996280441734904
0.142692750287687,1.0,0.9996217497537572
0.14384349827387802,1.0,0.999614597179568
0.14499424626006904,1.0,0.9995740449608244
0.14614499424626007,1.0,0.9995634298103568
0.1472957422324511,1.0,0.9995614584828496
0.14844649021864212,1.0,0.99955933732591
0.14959723820483314,1.0,0.9995551984661382
0.15074798619102417,1.0,0.9995429868897208
0.1518987341772152,1.0,0.9995338199042934
0.15304948216340622,1.0,0.999528684123064
0.15420023014959724,1.0,0.9995190339145328
0.15535097813578827,1.0,0.999512299478674
0.1565017261219793,1.0,0.9994517166586694
