fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,0.0001,500.0,0.01117670049494455,0.011237578459041065,174.0,328.0,0.0,999.0,0.7814790139906729,0.3466135458167331,1.0,0.514792899408284,1.0,0.24717407686510928
1,6000.0,1500.0,0.5,0.0001,500.0,0.011136626797016701,0.011632635001752625,174.0,351.0,0.0,975.0,0.766,0.3314285714285714,1.0,0.49785407725321884,1.0,0.2647058823529412
2,6000.0,1500.0,0.5,0.0001,500.0,0.011428609565641719,0.010679419373722765,174.0,326.0,0.0,1000.0,0.7826666666666666,0.348,1.0,0.5163204747774481,1.0,0.2458521870286576
3,6000.0,1500.0,0.5,0.0001,500.0,0.01119001768855242,0.01144134790938675,174.0,333.0,0.0,993.0,0.778,0.3431952662721893,1.0,0.5110132158590308,1.0,0.251131221719457
4,6001.0,1499.0,0.5,0.0001,500.0,0.011314626539539189,0.011453255124187421,173.0,331.0,0.0,995.0,0.7791861240827218,0.34325396825396826,1.0,0.5110782865583456,1.0,0.24962292609351433
mean,6000.0,1500.0,0.5,0.0001,500.0,0.011249316217138917,0.011288847173618125,173.8,333.8,0.0,992.4,0.7774663609480121,0.3424982703542924,1.0,0.5102117907712655,1.0,0.2516972588119359
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.00010761022910410409,0.0003293955809580593,0.4,8.930845424706444,0.0,9.068627239003707,0.005964299678514745,0.0058446494874795024,0.0,0.006517802653440765,0.0,0.006759757092146837
