fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,0.001,7500.0,0.04653701532573524,0.05897490417155418,174.0,269.0,0.0,1058.0,0.820786142571619,0.3927765237020316,1.0,0.5640194489465155,1.0,0.2027128862094951
1,6000.0,1500.0,0.5,0.001,7500.0,0.04657433782884856,0.048504481265262134,174.0,293.0,0.0,1033.0,0.8046666666666666,0.37259100642398285,1.0,0.5429017160686428,1.0,0.2209653092006033
2,6000.0,1500.0,0.5,0.001,7500.0,0.046460015192190895,0.04888655845227231,174.0,260.0,0.0,1066.0,0.8266666666666667,0.4009216589861751,1.0,0.5723684210526316,1.0,0.19607843137254902
3,6000.0,1500.0,0.5,0.001,7500.0,0.04727834338985141,0.04222832051313224,174.0,267.0,0.0,1059.0,0.822,0.3945578231292517,1.0,0.5658536585365853,1.0,0.20135746606334842
4,6001.0,1499.0,0.5,0.001,7500.0,0.04687509338881407,0.037041105333957935,173.0,282.0,0.0,1044.0,0.8118745830553702,0.3802197802197802,1.0,0.5509554140127388,1.0,0.21266968325791855
mean,6000.0,1500.0,0.5,0.001,7500.0,0.04674496102508803,0.04712707394723577,173.8,274.2,0.0,1052.0,0.8171988117920644,0.3882133584922443,1.0,0.5592197317234228,1.0,0.20675675522078288
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,0.00030165509967154094,0.007363269188935794,0.4,11.7881296226331,0.0,11.882760622010357,0.007886224690448022,0.010300784314301656,0.0,0.01071924329039013,0.0,0.008903679288514597
