fold,n_train,n_test,threshold,learning_rate,epochs_run,final_mse_train,mse_test,tp,fp,fn,tn,accuracy,precision,recall,f1,tpr,fpr
0,5999.0,1501.0,0.5,0.0001,7500.0,0.026373462754513487,0.02774652791685736,171.0,237.0,3.0,1090.0,0.8401065956029313,0.41911764705882354,0.9827586206896551,0.5876288659793815,0.9827586206896551,0.1785983421250942
1,6000.0,1500.0,0.5,0.0001,7500.0,0.02630912727555194,0.026986326955950622,171.0,241.0,3.0,1085.0,0.8373333333333334,0.41504854368932037,0.9827586206896551,0.583617747440273,0.9827586206896551,0.1817496229260935
2,6000.0,1500.0,0.5,0.0001,7500.0,0.026439022370030433,0.026670304454948418,171.0,234.0,3.0,1092.0,0.842,0.4222222222222222,0.9827586206896551,0.5906735751295337,0.9827586206896551,0.17647058823529413
3,6000.0,1500.0,0.5,0.0001,7500.0,0.02651419580603519,0.025712323750568346,174.0,216.0,0.0,1110.0,0.856,0.4461538461538462,1.0,0.6170212765957447,1.0,0.16289592760180996
4,6001.0,1499.0,0.5,0.0001,7500.0,0.026462946583300045,0.025782116275590405,171.0,241.0,2.0,1085.0,0.837891927951968,0.41504854368932037,0.9884393063583815,0.5846153846153845,0.9884393063583815,0.1817496229260935
mean,6000.0,1500.0,0.5,0.0001,7500.0,0.026419750957886217,0.026579519870783032,171.6,233.8,2.2,1092.4,0.8426663713776466,0.4235181605627066,0.9873430336854694,0.5927113699520635,0.9873430336854694,0.17629282076287706
std,0.6324555320336759,0.6324555320336759,0.0,0.0,0.0,7.146646148715751e-05,0.0007646598236351099,1.2,9.282241108697834,1.16619037896906,9.221713506718803,0.006870498670048707,0.011635179907719657,0.006700016979218908,0.012403184787418248,0.006700016979218908,0.006991096567662372
