l2,sigma,l2_label,sigma_label,n,val_acc_mean,val_acc_std,train_acc_mean,macro_f1_mean,macro_f1_std,val_loss_mean,train_loss_mean,gap,best_epoch_mean
0.001,0.0,1e-3,0,15,0.9749556872264787,0.001770834776638288,0.9979336620263167,0.9643520537687882,0.0035473364336415215,0.0917150571991403,0.01675418659982633,0.07496087059931397,39.333333333333336
0.001,0.1,1e-3,0.1,15,0.9746248501404163,0.0015818280004443856,0.9974252274080483,0.9631828137510223,0.0034334064282146234,0.09386648749479373,0.018008795806391965,0.07585769168840177,38.333333333333336
0.0001,0.0,1e-4,0,15,0.9743056149784732,0.0031717537503059977,0.9994471517085664,0.9629723125640607,0.004194604259850869,0.10578712518189913,0.005390495845073106,0.10039662933682603,22.666666666666668
0.001,0.2,1e-3,0.2,15,0.9740218788417785,0.0017343022531650103,0.997061587634512,0.9631416442068772,0.0034473719273479925,0.09494347844839231,0.018854149112148243,0.07608932933624407,37.333333333333336
0.001,0.03,1e-3,0.03,15,0.9739624710159133,0.002276862147669812,0.9974163601976044,0.9622337158233931,0.003866122780275341,0.09440038904572347,0.018266498892651483,0.07613389015307198,34.266666666666666
0.0001,0.03,1e-4,0.03,15,0.9732413091349036,0.0031680564153772606,0.9988678441501769,0.9614564194725749,0.004652006762675021,0.11227407352612104,0.008112104714526119,0.10416196881159492,16.533333333333335
0.0001,0.2,1e-4,0.2,15,0.9727090604362512,0.00307216930166325,0.9986727153684635,0.9604650224254283,0.004996875146071766,0.11467661512945025,0.00851397850704284,0.10616263662240741,12.6
0.0001,0.1,1e-4,0.1,15,0.9725080793228119,0.0027064341583930974,0.9992195857259362,0.9604741204769716,0.0039010923892516137,0.11521993014606391,0.007254615454846153,0.10796531469121776,11.533333333333333
1e-05,0.0,1e-5,0,15,0.9707344423097142,0.0029834101418331916,0.9988973005779591,0.9583926765899168,0.004691324220584686,0.12068900450606673,0.009249905149952754,0.11143909935611399,6.733333333333333
1e-05,0.03,1e-5,0.03,15,0.9704620651221842,0.003303552715877451,0.9980992751055268,0.9576873578880829,0.004961398985208821,0.12442153962244691,0.012367306108794773,0.11205423351365214,7.2
1e-05,0.2,1e-5,0.2,15,0.9701075559151721,0.002835094652195595,0.9973365335240035,0.9576794896176823,0.0046157875583236994,0.12272219290722482,0.014880645581371692,0.10784154732585313,5.933333333333334
1e-05,0.1,1e-5,0.1,15,0.9700953580620766,0.0031107188948790725,0.9974460255890046,0.9572281118653894,0.005355255167002479,0.12498848104583189,0.014482382160958587,0.11050609888487331,5.8
0.0,0.2,0,0.2,15,0.9699773853146618,0.0027810442175238864,0.9968132850774072,0.9573830528972856,0.004830726442598119,0.12096385504389176,0.01635152804038252,0.10461232700350924,5.666666666666667
0.0,0.03,0,0.03,15,0.9699185016487857,0.002920661860985131,0.9979750001401421,0.95724889926991,0.00461754423181189,0.12641332459349036,0.013047783193124513,0.11336554140036585,5.666666666666667
0.0,0.0,0,0,15,0.9699182962421242,0.002861707258205632,0.9983888945393554,0.9572274766345116,0.004698687895260962,0.12381337392597745,0.0119232578076241,0.11189011611835335,5.733333333333333
0.0,0.1,0,0.1,15,0.9697646802653607,0.0030441129812710907,0.9975138829090081,0.9572986755817983,0.00468004698677557,0.12117678592174483,0.01419860737681718,0.10697817854492765,5.666666666666667
